"Species","col_2b","col_16S","Group","Color"
"Ligilactobacillus",0,0.002648767,"s13_1","16S only"
"Limosilactobacillus",0,0.004557195,"s13_1","16S only"
"Marseille-P2935",0,3.29039e-05,"s13_1","16S only"
"MARSEILLE-P3954",0,3.29039e-05,"s13_1","16S only"
"Marvinbryantia",0,8.22598e-05,"s13_1","16S only"
"Massilia",0,4.93559e-05,"s13_1","16S only"
"Massilioclostridium",0,0.000378395,"s13_1","16S only"
"Mediterraneibacter",0,0.002829739,"s13_1","16S only"
"Megasphaera",0,0.000411299,"s13_1","16S only"
"Mesosutterella",0,0.000773243,"s13_1","16S only"
"Metamycoplasma",0.000181728,0.000888406,"s13_1","shared"
"Microbacterium",1.39871e-05,0,"s13_1","2b only"
"Mogibacterium",0.000474581,0.00016452,"s13_1","shared"
"Monoglobus",0,3.29039e-05,"s13_1","16S only"
"Moraxella",0,0.037461132,"s13_1","16S only"
"Moraxella_A",0,0.000361943,"s13_1","16S only"
"Muribaculum",0,0.00016452,"s13_1","16S only"
"Muricomes",0,9.87118e-05,"s13_1","16S only"
"Neisseria",0.608348286,0.305792738,"s13_1","shared"
"NSJ-38",0,0.000131616,"s13_1","16S only"
"NSJ-50",0,3.29039e-05,"s13_1","16S only"
"NSJ-54",0,0.000460655,"s13_1","16S only"
"Odoribacter",0,0.000904858,"s13_1","16S only"
"OF09-33XD",0,3.29039e-05,"s13_1","16S only"
"Olsenella",7.529e-05,0,"s13_1","2b only"
"Olsenella_E",0,0.000213876,"s13_1","16S only"
"Oribacterium",0.000395134,0.001645197,"s13_1","shared"
"Oscillibacter",0,0.002105852,"s13_1","16S only"
"Ottowia",0.000356818,0.000444203,"s13_1","shared"
"Parabacteroides",0,0.005659477,"s13_1","16S only"
"Paraprevotella",0,0.000312587,"s13_1","16S only"
"Parasutterella",0,0.000230328,"s13_1","16S only"
"Parvimonas",0.00036841,0.000740339,"s13_1","shared"
"Pasteurella",0.000104846,0,"s13_1","2b only"
"Pauljensenia",0.000886614,0.000361943,"s13_1","shared"
"Pedobacter",0,6.58079e-05,"s13_1","16S only"
"Peptidiphaga",0.000222072,0,"s13_1","2b only"
"Peptoanaerobacter",0.000358214,0.000493559,"s13_1","shared"
"Peptostreptococcus",0.000468063,0.001431321,"s13_1","shared"
"Phascolarctobacterium_A",0,0.009377622,"s13_1","16S only"
"Phocaeicola",4.70435e-05,0.023937614,"s13_1","shared"
"Porphyromonas",0.03546079,0.049109126,"s13_1","shared"
"Prevotella",0.025937071,0.077439416,"s13_1","shared"
"Prevotellamassilia",0,0.002138756,"s13_1","16S only"
"Pseudobutyrivibrio",0,4.93559e-05,"s13_1","16S only"
"Pseudoclostridium",0,3.29039e-05,"s13_1","16S only"
"Pseudoduganella",1.23959e-05,0,"s13_1","2b only"
"Pseudoleptotrichia",0.000103528,0.002105852,"s13_1","shared"
"Pseudomonas",5.94395e-05,0,"s13_1","2b only"
"Pseudomonas_E",0,9.87118e-05,"s13_1","16S only"
"Pseudoramibacter",1.0567e-05,0,"s13_1","2b only"
"Quisquiliibacterium",0,0.000197424,"s13_1","16S only"
"Rahnella",0,9.87118e-05,"s13_1","16S only"
"RC9",0,0.001809717,"s13_1","16S only"
"Reyranella",0,3.29039e-05,"s13_1","16S only"
"Rodentibacter",2.66208e-05,6.58079e-05,"s13_1","shared"
"Romboutsia",0,0.002550055,"s13_1","16S only"
"Roseburia",0,0.019215899,"s13_1","16S only"
"Rothia",0.037340983,0.019363967,"s13_1","shared"
"RQZE01",0,0.000131616,"s13_1","16S only"
"RUG115",0,4.93559e-05,"s13_1","16S only"
"RUG13077",0,3.29039e-05,"s13_1","16S only"
"Ruminococcus_A",0,0.001118734,"s13_1","16S only"
"Ruminococcus_B",0,0.007173058,"s13_1","16S only"
"Ruminococcus_C",0,0.000510011,"s13_1","16S only"
"Ruminococcus_E",0,0.000115164,"s13_1","16S only"
"Ruthenibacterium",0,0.001316157,"s13_1","16S only"
"RZZT01",0,6.58079e-05,"s13_1","16S only"
"Saccharimonas",0.000304107,0,"s13_1","2b only"
"Schwartzia",0,0.000213876,"s13_1","16S only"
"SDRW01",0.000405743,6.58079e-05,"s13_1","shared"
"Selenomonas",0.000120105,0.000641627,"s13_1","shared"
"Selenomonas_A",0,3.29039e-05,"s13_1","16S only"
"Senegalimassilia",0,3.29039e-05,"s13_1","16S only"
"Shuttleworthia",0.000138946,0,"s13_1","2b only"
"Simonsiella",0.000144935,0.00024678,"s13_1","shared"
"Slackia",1.09734e-05,0,"s13_1","2b only"
"SMWR01",0,3.29039e-05,"s13_1","16S only"
"Soleaferrea",0,0.000230328,"s13_1","16S only"
"Staphylococcus",1.99757e-05,0,"s13_1","2b only"
"Stenotrophomonas",4.59462e-05,3.29039e-05,"s13_1","shared"
"Streptobacillus",0,0.001678101,"s13_1","16S only"
"Streptococcus",0.095207483,0.07806459,"s13_1","shared"
"Succiniclasticum",0,3.29039e-05,"s13_1","16S only"
"Sutterella",0,0.002270372,"s13_1","16S only"
"Suttonella",0,0.000296135,"s13_1","16S only"
"Syntrophomonas_A",0,4.93559e-05,"s13_1","16S only"
"SZUA-359",0,9.87118e-05,"s13_1","16S only"
"Tannerella",0.004195749,0.001891976,"s13_1","shared"
"Terrisporobacter",0,9.87118e-05,"s13_1","16S only"
"Thermoanaerosceptrum",0,0.00016452,"s13_1","16S only"
"TM7x",0.000331928,0.000378395,"s13_1","shared"
"Treponema",0.000513322,0.001217446,"s13_1","shared"
"Treponema_B",0.000816039,0.001414869,"s13_1","shared"
"Treponema_C",0.000409609,0.000180972,"s13_1","shared"
"Treponema_D",0.000184618,0.001579389,"s13_1","shared"
"UBA1103",0.000396809,0.000197424,"s13_1","shared"
"UBA1191",0,0.000312587,"s13_1","16S only"
"UBA1394",0,0.000296135,"s13_1","16S only"
"UBA1417",0,0.000361943,"s13_1","16S only"
"UBA2730",0,0.000230328,"s13_1","16S only"
"UBA2866",4.08456e-05,3.29039e-05,"s13_1","shared"
"UBA3402",0,4.93559e-05,"s13_1","16S only"
"UBA4372",0,0.000460655,"s13_1","16S only"
"UBA4615",2.42838e-05,0,"s13_1","2b only"
"UBA5446",0,0.002040044,"s13_1","16S only"
"UBA6382",0,0.00016452,"s13_1","16S only"
"UBA644",0,3.29039e-05,"s13_1","16S only"
"UBA7173",0,0.000542915,"s13_1","16S only"
"UBA8529",0,0.001612293,"s13_1","16S only"
"UBA9502",0,0.001118734,"s13_1","16S only"
"UMGS1071",0,0.000180972,"s13_1","16S only"
"UMGS1375",0,0.000115164,"s13_1","16S only"
"UMGS1872",0,0.002599411,"s13_1","16S only"
"UMGS1907",0.000363937,0,"s13_1","2b only"
"UMGS363",0,3.29039e-05,"s13_1","16S only"
"Vallitalea_A",0,0.000493559,"s13_1","16S only"
"Veillonella",0.003087307,0.004211704,"s13_1","shared"
"Vibrio",0,8.22598e-05,"s13_1","16S only"
"W11650",0.000553904,0,"s13_1","2b only"
"W5053",1.49361e-05,0,"s13_1","2b only"
"WRMH01",0,3.29039e-05,"s13_1","16S only"
"Zag111",0,6.58079e-05,"s13_1","16S only"
"Abiotrophia",0.000200293,0.000411025,"s13_11","shared"
"Acetatifactor",0,0.000844884,"s13_11","16S only"
"Acidaminococcus",0,4.57e-05,"s13_11","16S only"
"Acinetobacter",0.000199644,9.13e-05,"s13_11","shared"
"Actinobacillus_A",0,4.57e-05,"s13_11","16S only"
"Actinobacillus_B",0,6.85e-05,"s13_11","16S only"
"Actinomyces",0.012407727,0.00495513,"s13_11","shared"
"Agathobaculum",0,0.000228347,"s13_11","16S only"
"Aggregatibacter",0.007915267,0.015687439,"s13_11","shared"
"Akkermansia",0,0.00073071,"s13_11","16S only"
"Allisonella",0.000848949,0.000753545,"s13_11","shared"
"Alloprevotella",0.012081524,0,"s13_11","2b only"
"Aminipila",0,0.000182678,"s13_11","16S only"
"Aminivibrio",0,0.001484255,"s13_11","16S only"
"Anaerobutyricum",0,0.000228347,"s13_11","16S only"
"Anaeroglobus",0.000697013,0.000228347,"s13_11","shared"
"Anaeromassilibacillus",0,0.000137008,"s13_11","16S only"
"Anaerosacchariphilus",0,0.000228347,"s13_11","16S only"
"Anaerostipes",0,0.000137008,"s13_11","16S only"
"Anaerotignum",0,0.00034252,"s13_11","16S only"
"Anaerovibrio",0,0.000456694,"s13_11","16S only"
"Ancrocorticia",0,0.000707876,"s13_11","16S only"
"Arachnia",0.00193955,4.57e-05,"s13_11","shared"
"Aurantimonas",0,4.57e-05,"s13_11","16S only"
"Aureimonas_A",0,0.000639372,"s13_11","16S only"
"Bacillus_A",4.40733e-05,0,"s13_11","2b only"
"Bacteroides",0,0.000114173,"s13_11","16S only"
"Bariatricus",0,0.001027561,"s13_11","16S only"
"Bergeyella_A",0.001815562,0.000296851,"s13_11","shared"
"Bifidobacterium",0,6.85e-05,"s13_11","16S only"
"Blautia_A",0,0.002443313,"s13_11","16S only"
"Brevibacillus_D",0,4.57e-05,"s13_11","16S only"
"Bulleidia",0.002208335,0.000662206,"s13_11","shared"
"Butyricicoccus_A",0,0.001575594,"s13_11","16S only"
"CAG-115",0,0.000981892,"s13_11","16S only"
"CAG-127",0,0.000114173,"s13_11","16S only"
"CAG-180",0,0.000228347,"s13_11","16S only"
"CAG-279",0,0.000159843,"s13_11","16S only"
"CAG-41",0,0.000319686,"s13_11","16S only"
"CAG-417",0,0.000296851,"s13_11","16S only"
"CAG-45",0,0.000182678,"s13_11","16S only"
"CAG-475",0,0.000570867,"s13_11","16S only"
"CAG-488",0,6.85e-05,"s13_11","16S only"
"CAG-632",0,0.001301578,"s13_11","16S only"
"CAG-81",0,4.57e-05,"s13_11","16S only"
"CAG-873",0,0.000159843,"s13_11","16S only"
"Campylobacter_A",0.005596605,0.008129153,"s13_11","shared"
"Campylobacter_B",0.000686364,0,"s13_11","2b only"
"Capnocytophaga",0.011475785,0.003813395,"s13_11","shared"
"Caprobacter",0,0.000114173,"s13_11","16S only"
"Cardiobacterium",0.002768851,0.002306305,"s13_11","shared"
"Catenibacterium",0,0.000114173,"s13_11","16S only"
"Catonella",0.000581731,0,"s13_11","2b only"
"Centipeda",0.002368264,0.0011189,"s13_11","shared"
"Clostridium",0,0.001255908,"s13_11","16S only"
"Clostridium_AN",0,9.13e-05,"s13_11","16S only"
"Clostridium_B",0,9.13e-05,"s13_11","16S only"
"Collinsella",0,0.00038819,"s13_11","16S only"
"Coprococcus",0,0.000411025,"s13_11","16S only"
"Corynebacterium",0.008316146,0.005137807,"s13_11","shared"
"Cryptobacterium",1.63918e-05,0,"s13_11","2b only"
"Cutibacterium",0.000498039,0,"s13_11","2b only"
"Desulfobulbus",0.000303922,4.57e-05,"s13_11","shared"
"Desulfomicrobium",0.00307562,0.000182678,"s13_11","shared"
"Dialister",0.004334161,0.002032288,"s13_11","shared"
"Dorea",0,0.000319686,"s13_11","16S only"
"Duncaniella",0,0.000205512,"s13_11","16S only"
"Dysosmobacter",0,9.13e-05,"s13_11","16S only"
"Eggerthia",0.000239801,0,"s13_11","2b only"
"EhC02",0,4.57e-05,"s13_11","16S only"
"Eikenella",0.001072113,0.002055123,"s13_11","shared"
"Emergencia",0,0.000502363,"s13_11","16S only"
"Enterocloster",0,0.000228347,"s13_11","16S only"
"Enterococcus",0.000130178,0,"s13_11","2b only"
"Eubacterium",0,0.000114173,"s13_11","16S only"
"Eubacterium_A",0.004519482,0.000822049,"s13_11","shared"
"Eubacterium_B",0.000825288,0.000274016,"s13_11","shared"
"Eubacterium_F",0,0.000548033,"s13_11","16S only"
"Eubacterium_G",0,6.85e-05,"s13_11","16S only"
"Eubacterium_M",0.007449205,0.001392917,"s13_11","shared"
"Eubacterium_N",0,0.000548033,"s13_11","16S only"
"Eubacterium_R",0,0.004201585,"s13_11","16S only"
"F0040",0.000665402,0.006827575,"s13_11","shared"
"F0058",0.009714985,0.002123627,"s13_11","shared"
"F0422",0.000306128,0.000616537,"s13_11","shared"
"Faecalibacterium",0,0.009978764,"s13_11","16S only"
"Faecalicoccus",0,4.57e-05,"s13_11","16S only"
"Filifactor",0.006968319,0,"s13_11","2b only"
"Flavonifractor",0,0.000137008,"s13_11","16S only"
"Flexilinea",0.000312386,0,"s13_11","2b only"
"Fournierella",0,0.001004727,"s13_11","16S only"
"Fretibacterium",0.002848436,0,"s13_11","2b only"
"Fructilactobacillus",0,6.85e-05,"s13_11","16S only"
"Fusicatenibacter",0,9.13e-05,"s13_11","16S only"
"Fusobacterium",0.029476612,0.059918252,"s13_11","shared"
"Gemella",0.008605779,0.008654351,"s13_11","shared"
"GN02-872",0,4.57e-05,"s13_11","16S only"
"GN02-873",0.000151669,4.57e-05,"s13_11","shared"
"Granulicatella",0.003508674,0.004612609,"s13_11","shared"
"Haemophilus",0.003265142,0.004863791,"s13_11","shared"
"Haemophilus_A",0.020705084,0.02322289,"s13_11","shared"
"Haemophilus_D",0.045698827,0.002945676,"s13_11","shared"
"Holdemanella",0,0.000570867,"s13_11","16S only"
"HOT-345",0.000597619,0.000274016,"s13_11","shared"
"Intestinimonas",0,0.000433859,"s13_11","16S only"
"JAAYOI01",0,4.57e-05,"s13_11","16S only"
"JABCPE02",0.001809911,0,"s13_11","2b only"
"JABCPG02",9.91106e-05,0,"s13_11","2b only"
"Johnsonella",0.000818319,6.85e-05,"s13_11","shared"
"Kingella",0.000113205,0,"s13_11","2b only"
"Kingella_A",0.000514937,0,"s13_11","2b only"
"Kingella_B",0.000535435,0.001050396,"s13_11","shared"
"Klebsiella",5.48202e-05,0,"s13_11","2b only"
"Lachnoanaerobaculum",0.00076019,0.001575594,"s13_11","shared"
"Lachnospira",0,0.002123627,"s13_11","16S only"
"Lacrimispora",0,0.000137008,"s13_11","16S only"
"Lactobacillus",0,0.022195328,"s13_11","16S only"
"Lancefieldella",0.001294217,0.000959057,"s13_11","shared"
"Lautropia",0.100237904,0,"s13_11","2b only"
"Lawsonella",7.69654e-05,0,"s13_11","2b only"
"Lawsonibacter",0,0.002260635,"s13_11","16S only"
"Leptotrichia",0.013123913,0.022971708,"s13_11","shared"
"Leptotrichia_A",0.001884177,0.002991346,"s13_11","shared"
"Ligilactobacillus",0,0.000981892,"s13_11","16S only"
"Limosilactobacillus",2.50762e-05,0.006348046,"s13_11","shared"
"Marinobacter",0,6.85e-05,"s13_11","16S only"
"Marvinbryantia",0,0.000114173,"s13_11","16S only"
"Massilioclostridium",0,9.13e-05,"s13_11","16S only"
"Mediterraneibacter",0,0.000137008,"s13_11","16S only"
"Megasphaera",0,0.0072386,"s13_11","16S only"
"Mesomycoplasma",0,4.57e-05,"s13_11","16S only"
"Metamycoplasma",0,0.000662206,"s13_11","16S only"
"Methylobacterium",0,6.85e-05,"s13_11","16S only"
"Methylophilus",1.11812e-05,0,"s13_11","2b only"
"Mogibacterium",0.005779895,0.000114173,"s13_11","shared"
"Moraxella",0,0.000433859,"s13_11","16S only"
"Muribaculum",0,4.57e-05,"s13_11","16S only"
"Muricomes",0,0.000182678,"s13_11","16S only"
"Neisseria",0.097769557,0.128742036,"s13_11","shared"
"Nocardia",2.30136e-05,0,"s13_11","2b only"
"NSJ-38",0,9.13e-05,"s13_11","16S only"
"NSJ-54",0,0.000114173,"s13_11","16S only"
"NSJ-63",0,4.57e-05,"s13_11","16S only"
"OF09-33XD",0,6.85e-05,"s13_11","16S only"
"Olsenella",0.000283547,0,"s13_11","2b only"
"Olsenella_E",0,0.001096066,"s13_11","16S only"
"Oribacterium",0.001239329,0.001096066,"s13_11","shared"
"Oscillibacter",0,0.001278743,"s13_11","16S only"
"Ottowia",0.001727302,0.000936223,"s13_11","shared"
"Oxalobacter",0,4.57e-05,"s13_11","16S only"
"Parabacteroides",0,0.001050396,"s13_11","16S only"
"Paraeggerthella",0,0.000114173,"s13_11","16S only"
"Paraprevotella",0,4.57e-05,"s13_11","16S only"
"Parasphingorhabdus",0,9.13e-05,"s13_11","16S only"
"Parvimonas",0.008543758,0.002854337,"s13_11","shared"
"Pauljensenia",0.001859466,0.001529925,"s13_11","shared"
"Peptidiphaga",0.002504753,0,"s13_11","2b only"
"Peptoanaerobacter",0.001273224,0.000685041,"s13_11","shared"
"Peptostreptococcus",0.000388389,0.00034252,"s13_11","shared"
"Phascolarctobacterium_A",0,0.009179549,"s13_11","16S only"
"Phocaeicola",0.00040208,0.000205512,"s13_11","shared"
"Porphyromonas",0.032261936,0.022103989,"s13_11","shared"
"Prevotella",0.059455186,0.057223757,"s13_11","shared"
"Prevotellamassilia",0,0.010184276,"s13_11","16S only"
"Pseudoleptotrichia",0.003288847,0.001940949,"s13_11","shared"
"Pseudoramibacter",3.89712e-05,0,"s13_11","2b only"
"Ralstonia",4.61358e-05,0,"s13_11","2b only"
"RC9",0,0.002077958,"s13_11","16S only"
"Rodentibacter",4.27706e-05,0,"s13_11","2b only"
"Romboutsia",0,9.13e-05,"s13_11","16S only"
"Roseburia",0,0.008951202,"s13_11","16S only"
"Rothia",0.149508031,0.133788505,"s13_11","shared"
"RQZE01",0,0.000114173,"s13_11","16S only"
"RUG13038",0,9.13e-05,"s13_11","16S only"
"Ruminococcus",0,4.57e-05,"s13_11","16S only"
"Ruminococcus_B",0,9.13e-05,"s13_11","16S only"
"Ruminococcus_C",0,0.000411025,"s13_11","16S only"
"Ruminococcus_E",0,0.000228347,"s13_11","16S only"
"Ruthenibacterium",0,0.000159843,"s13_11","16S only"
"Saccharimonas",0.00503302,0,"s13_11","2b only"
"Scardovia",0.000219014,4.57e-05,"s13_11","shared"
"Schaedlerella",0,4.57e-05,"s13_11","16S only"
"Schwartzia",0,0.000274016,"s13_11","16S only"
"SDRW01",0.002876184,0.000159843,"s13_11","shared"
"Selenomonas",0.000562613,0.000456694,"s13_11","shared"
"Selenomonas_A",0,0.000913388,"s13_11","16S only"
"Senegalimassilia",0,4.57e-05,"s13_11","16S only"
"SFTJ01",0,0.00038819,"s13_11","16S only"
"Shuttleworthia",0.000269164,0,"s13_11","2b only"
"Simonsiella",0,4.57e-05,"s13_11","16S only"
"Slackia",0.000322475,0,"s13_11","2b only"
"Soleaferrea",0,9.13e-05,"s13_11","16S only"
"Sphingomonas",0,6.85e-05,"s13_11","16S only"
"Staphylococcus",6.38303e-05,0.000137008,"s13_11","shared"
"Stomatobaculum",6.02479e-05,0,"s13_11","2b only"
"Streptococcus",0.232864917,0.30178339,"s13_11","shared"
"Succiniclasticum",0,0.000274016,"s13_11","16S only"
"Succinivibrio",0,0.000205512,"s13_11","16S only"
"SZUA-359",0,4.57e-05,"s13_11","16S only"
"Tannerella",0.017459803,0.002123627,"s13_11","shared"
"Terrisporobacter",0,0.000685041,"s13_11","16S only"
"Thermoanaerosceptrum",0,0.000228347,"s13_11","16S only"
"TM7x",0.004293692,0.004475601,"s13_11","shared"
"Treponema",0.001850033,0.002055123,"s13_11","shared"
"Treponema_B",0.00335966,0.000981892,"s13_11","shared"
"Treponema_C",0.001669504,0.000114173,"s13_11","shared"
"Treponema_D",0.000790451,0.001233074,"s13_11","shared"
"UBA1103",0.004617318,0.000479529,"s13_11","shared"
"UBA1191",0,0.00034252,"s13_11","16S only"
"UBA1394",0,6.85e-05,"s13_11","16S only"
"UBA1417",0,0.00034252,"s13_11","16S only"
"UBA2866",0.000174978,4.57e-05,"s13_11","shared"
"UBA4372",0,0.001872445,"s13_11","16S only"
"UBA5446",0,0.001210239,"s13_11","16S only"
"UBA6382",0,4.57e-05,"s13_11","16S only"
"UBA7173",0,0.000616537,"s13_11","16S only"
"UBA8529",0,0.001187404,"s13_11","16S only"
"UBA9502",0,6.85e-05,"s13_11","16S only"
"UMGS1004",0,4.57e-05,"s13_11","16S only"
"UMGS1872",0,0.001438586,"s13_11","16S only"
"Vallitalea_A",0,0.000913388,"s13_11","16S only"
"Veillonella",0.007862239,0.011828374,"s13_11","shared"
"VUNA01",0,6.85e-05,"s13_11","16S only"
"W11650",0.000382656,0,"s13_11","2b only"
"Weissella",3.1698e-05,0,"s13_11","2b only"
"Abiotrophia",0.002143421,0.00108177,"s13_12","shared"
"Acetatifactor",0,0.001584021,"s13_12","16S only"
"Acidaminococcus",0,0.001062453,"s13_12","16S only"
"Acinetobacter",0.000108723,0,"s13_12","2b only"
"Actinobacillus_A",0,3.86347e-05,"s13_12","16S only"
"Actinobacillus_B",0,3.86347e-05,"s13_12","16S only"
"Actinomyces",0.002595398,0.001043136,"s13_12","shared"
"Acutalibacter",0,9.65866e-05,"s13_12","16S only"
"Adlercreutzia",0,3.86347e-05,"s13_12","16S only"
"Agathobaculum",0,0.000946549,"s13_12","16S only"
"Aggregatibacter",0.014502068,0.014584581,"s13_12","shared"
"Akkermansia",0,0.00050225,"s13_12","16S only"
"Alistipes",0,0.003728244,"s13_12","16S only"
"Alistipes_A",0,0.000386347,"s13_12","16S only"
"Allisonella",9.01832e-05,0.000367029,"s13_12","shared"
"Alloprevotella",0.001621325,0,"s13_12","2b only"
"AM07-15",0,5.7952e-05,"s13_12","16S only"
"Amedibacterium",0,0.000328395,"s13_12","16S only"
"Aminipila",0,0.000482933,"s13_12","16S only"
"Aminivibrio",0,0.001757877,"s13_12","16S only"
"Anaerobutyricum",0,0.00282033,"s13_12","16S only"
"Anaerofustis",0,7.72693e-05,"s13_12","16S only"
"Anaeroglobus",0.0002289,0.000444298,"s13_12","shared"
"Anaeromassilibacillus",0,0.000173856,"s13_12","16S only"
"Anaerosacchariphilus",0,0.002028319,"s13_12","16S only"
"Anaerostipes",0,0.00253057,"s13_12","16S only"
"Anaerotignum",0,0.00195105,"s13_12","16S only"
"Anaerotruncus",0,0.000598837,"s13_12","16S only"
"Anaerovibrio",0,0.001410165,"s13_12","16S only"
"Ancrocorticia",0,0.000115904,"s13_12","16S only"
"Angelakisella",0,0.000135221,"s13_12","16S only"
"Arachnia",0.001501257,3.86347e-05,"s13_12","shared"
"Aureimonas_A",0,0.001236309,"s13_12","16S only"
"Bacillus_A",6.94442e-05,0,"s13_12","2b only"
"Bacteroides",2.032e-05,0.03330307,"s13_12","shared"
"Bariatricus",0,0.001564703,"s13_12","16S only"
"Barnesiella",0,0.001526069,"s13_12","16S only"
"Bergeyella_A",0.001759213,5.7952e-05,"s13_12","shared"
"Bifidobacterium",0,0.011030193,"s13_12","16S only"
"Blautia",0,0.001835146,"s13_12","16S only"
"Blautia_A",0,0.029265748,"s13_12","16S only"
"Brevibacillus_D",0,7.72693e-05,"s13_12","16S only"
"Brooklawnia",0,3.86347e-05,"s13_12","16S only"
"Bulleidia",0.00085671,0.00028976,"s13_12","shared"
"Butyricicoccus_A",0,0.002318079,"s13_12","16S only"
"Butyricimonas",0,0.000714741,"s13_12","16S only"
"BX7",0,5.7952e-05,"s13_12","16S only"
"CAG-1024",0,3.86347e-05,"s13_12","16S only"
"CAG-110",0,0.001622655,"s13_12","16S only"
"CAG-115",0,0.001912415,"s13_12","16S only"
"CAG-127",0,0.000618154,"s13_12","16S only"
"CAG-180",0,0.000521568,"s13_12","16S only"
"CAG-279",0,0.000540885,"s13_12","16S only"
"CAG-354",0,3.86347e-05,"s13_12","16S only"
"CAG-41",0,0.000637472,"s13_12","16S only"
"CAG-417",0,0.000347712,"s13_12","16S only"
"CAG-45",0,0.000830645,"s13_12","16S only"
"CAG-475",0,0.000251125,"s13_12","16S only"
"CAG-485",0,0.000193173,"s13_12","16S only"
"CAG-488",0,0.00028976,"s13_12","16S only"
"CAG-521",0,0.001255626,"s13_12","16S only"
"CAG-594",0,5.7952e-05,"s13_12","16S only"
"CAG-632",0,0.003979369,"s13_12","16S only"
"CAG-81",0,0.000367029,"s13_12","16S only"
"CAG-873",0,0.000270443,"s13_12","16S only"
"Campylobacter_A",0.005957971,0.005119091,"s13_12","shared"
"Campylobacter_B",0.000736242,0,"s13_12","2b only"
"Capnocytophaga",0.017642418,0.002646474,"s13_12","shared"
"Cardiobacterium",0.002549985,0.00166129,"s13_12","shared"
"Catenibacterium",0,0.000656789,"s13_12","16S only"
"Catonella",0.00032467,0,"s13_12","2b only"
"Centipeda",0.00105215,0.001004501,"s13_12","shared"
"Christensenella",0,5.7952e-05,"s13_12","16S only"
"Clostridioides",0,0.000714741,"s13_12","16S only"
"Clostridium",0,0.000598837,"s13_12","16S only"
"Clostridium_A",0,0.000328395,"s13_12","16S only"
"Clostridium_AN",0,0.000154539,"s13_12","16S only"
"Clostridium_AP",0,0.000173856,"s13_12","16S only"
"Clostridium_Q",0,7.72693e-05,"s13_12","16S only"
"Collinsella",0,0.003071455,"s13_12","16S only"
"Coprococcus",0,0.001004501,"s13_12","16S only"
"Corynebacterium",0.000647073,0.001854463,"s13_12","shared"
"Cutibacterium",0.001650159,0,"s13_12","2b only"
"Desulfobulbus",0.000643544,3.86347e-05,"s13_12","shared"
"Desulfomicrobium",0,5.7952e-05,"s13_12","16S only"
"Desulfovibrio",0,5.7952e-05,"s13_12","16S only"
"Dialister",0.002828406,0.001429482,"s13_12","shared"
"Dietzia",0,5.7952e-05,"s13_12","16S only"
"Dorea",0,0.000482933,"s13_12","16S only"
"Duncaniella",0,0.00086928,"s13_12","16S only"
"Duodenibacillus",0,0.003264628,"s13_12","16S only"
"Dysosmobacter",0,0.000309077,"s13_12","16S only"
"Eggerthella",0,0.000424981,"s13_12","16S only"
"Eikenella",0.003248698,0.001178357,"s13_12","shared"
"Emergencia",0,0.000405664,"s13_12","16S only"
"Enorma",0,0.000173856,"s13_12","16S only"
"Enterocloster",0,0.005080457,"s13_12","16S only"
"Erysipelatoclostridium",0,0.000521568,"s13_12","16S only"
"Eubacterium",0,0.000212491,"s13_12","16S only"
"Eubacterium_A",0.001165098,0.001197674,"s13_12","shared"
"Eubacterium_B",0.001603493,0.000173856,"s13_12","shared"
"Eubacterium_F",0,0.000386347,"s13_12","16S only"
"Eubacterium_G",0,0.000830645,"s13_12","16S only"
"Eubacterium_M",0.003083351,0.000695424,"s13_12","shared"
"Eubacterium_N",0.002309371,0.000347712,"s13_12","shared"
"Eubacterium_O",0,3.86347e-05,"s13_12","16S only"
"Eubacterium_R",0,0.011783569,"s13_12","16S only"
"Evtepia",0,7.72693e-05,"s13_12","16S only"
"F0040",0.000656702,0.007031507,"s13_12","shared"
"F0058",0.010846657,0.002685108,"s13_12","shared"
"F0422",0,0.000907914,"s13_12","16S only"
"F0428",0,9.65866e-05,"s13_12","16S only"
"Faecalibacterium",0,0.048679661,"s13_12","16S only"
"Faecalicoccus",0,5.7952e-05,"s13_12","16S only"
"Faecalimonas",0,5.7952e-05,"s13_12","16S only"
"Filifactor",0.00593076,0,"s13_12","2b only"
"Flavonifractor",0,0.00050225,"s13_12","16S only"
"Flexilinea",0.000313872,0,"s13_12","2b only"
"Fournierella",0,0.001139722,"s13_12","16S only"
"Fretibacterium",0.001936271,0,"s13_12","2b only"
"Fusicatenibacter",0,0.004037321,"s13_12","16S only"
"Fusobacterium",0.020135415,0.036644967,"s13_12","shared"
"Fusobacterium_A",0,0.005061139,"s13_12","16S only"
"Gemella",0.004449413,0.007475805,"s13_12","shared"
"Glaesserella",0,7.72693e-05,"s13_12","16S only"
"GN02-872",0,5.7952e-05,"s13_12","16S only"
"GN02-873",0,0.000154539,"s13_12","16S only"
"Gordonia",7.16019e-05,0,"s13_12","2b only"
"Granulicatella",0.004670633,0.007205362,"s13_12","shared"
"Haemophilus",0.020591061,0.007070141,"s13_12","shared"
"Haemophilus_A",0.003193748,0.002105589,"s13_12","shared"
"Haemophilus_D",0.098390256,0.002202175,"s13_12","shared"
"Holdemanella",0,0.002086271,"s13_12","16S only"
"HOT-345",0.001081815,0.000367029,"s13_12","shared"
"Hungatella",0,0.000386347,"s13_12","16S only"
"Intestinimonas",0,0.000637472,"s13_12","16S only"
"JAAYOI01",0,3.86347e-05,"s13_12","16S only"
