	tumor1	tumor2	tumor5	tumor6
tumor1	0	0.4930811524391174	0.2962986528873444	0.3399841487407684
tumor2	0.4930811524391174	0	0.5059999227523804	0.441976010799408
tumor5	0.2962986528873444	0.5059999227523804	0	0.3169300556182861
tumor6	0.3399841487407684	0.441976010799408	0.3169300556182861	0
