id,2b_16S,WMS_16S,2b_MPA,2b_WMS
tumor1,0.484823458,0.489384654,0.395470603,0.951228003
tumor2,0.651491173,0.619229849,0.931775935,0.923895187
tumor5,-0.118790012,-0.168630233,0.97736566,0.999140652
tumor6,0.089053443,0.077173457,0.825099873,0.978131292
