id,R,BC,L2,SI
tumor1,0.558683575,0.312140264,0.75637647,0.5482647
tumor2,0.681629837,0.531038439,0.777965886,0.932341447
tumor3,-0.196231439,0.000922679,0.588055503,0.652150192
tumor4,0.285874779,0.278621111,0.758815979,0.992037718
tumor5,-0.168630233,0.010707137,0.300540471,-0.896444853
tumor6,0.086693652,0.171782199,0.700101585,0.970011714
