id,R,BC,L2,SI
tumor1,0.553411677,0.313232386,0.754213558,0.689153935
tumor2,0.720089975,0.546929483,0.799657401,0.861686107
tumor3,-0.178657602,0.000442886,0.530086383,0.630135391
tumor4,0.266052277,0.28200191,0.749725503,0.987433739
tumor5,-0.118790012,0.009093418,0.275218548,0.318761376
tumor6,0.094856534,0.190954883,0.692283927,0.992550335
