id,R,BC,L2,SI
tumor1,0.951228003,0.86364895,0.918427297,0.999531125
tumor2,0.923895187,0.84653453,0.897662604,0.942243114
tumor3,0.915055033,0.706694068,0.840990044,0.822598387
tumor4,0.968358788,0.86712069,0.937399541,0.979145486
tumor5,0.999140652,0.932922957,0.961312944,0.916898784
tumor6,0.978131292,0.869525466,0.942067552,0.976707798
