	tumor1	tumor2	tumor5	tumor6
tumor1	0	1.327648639678955	2.540823698043823	1.55229640007019
tumor2	1.327648639678955	0	2.824138879776001	1.523204565048218
tumor5	2.540823698043823	2.824138879776001	0	2.374011516571045
tumor6	1.55229640007019	1.523204565048218	2.374011516571045	0
