	tumor1	tumor2	tumor5	tumor6
tumor1	0	1.344233673115839	2.470441921616821	1.490709159255759
tumor2	1.344233673115839	0	2.739824248108373	1.509703724312091
tumor5	2.470441921616821	2.739824248108373	0	2.303997534606675
tumor6	1.490709159255759	1.509703724312091	2.303997534606675	0
