	s__Gemella_haemolysans_A	s__Granulicatella_sp001058355	s__Prevotella_melaninogenica	s__Rothia_mucilaginosa_A	s__Granulicatella_elegans	s__Porphyromonas_sp000467855	s__Rothia_dentocariosa	s__Rothia_mucilaginosa	s__Abiotrophia_sp001815865	s__Prevotella_sp000257925	s__F0040_sp900095835	s__Lancefieldella_sp000564995	s__Leptotrichia_wadei_A	s__Aggregatibacter_aphrophilus	s__Prevotella_sp000163055	s__Neisseria_sp000090875	s__Fusobacterium_polymorphum	s__Leptotrichia_buccalis	s__Aggregatibacter_kilianii	s__Oribacterium_asaccharolyticum	s__Streptococcus_mutans	s__Capnocytophaga_sputigena	s__Leptotrichia_hongkongensis	s__Leptotrichia_sp002240055	s__Cardiobacterium_hominis	s__Actinomyces_vulturis	s__Fusobacterium_C_gonidiaformans	s__Prevotella_shahii	s__Porphyromonas_sp000768875	s__Corynebacterium_matruchotii	s__Veillonella_rogosae	s__SDRW01_sp007845485	s__Kingella_B_oralis	s__Gemella_morbillorum	s__Capnocytophaga_granulosa	s__Capnocytophaga_sp000318275	s__Prevotella_scopos	s__Haemophilus_D_pittmaniae	s__Fusobacterium_nucleatum_J	s__Capnocytophaga_leadbetteri	s__Leptotrichia_shahii	s__Pauljensenia_odontolytica_C	s__Streptobacillus_notomytis	s__Neisseria_sp002237445	s__Leptotrichia_A_sp001274535	s__Fusobacterium_animalis	s__Peptostreptococcus_canis	s__Anaeroglobus_micronuciformis	s__Lachnoanaerobaculum_orale	s__Pseudoleptotrichia_goodfellowii	s__F0428_sp003043955	s__Mogibacterium_diversum	s__UBA2866_sp004138405	s__Aureimonas_A_sp001425485	s__Prevotella_oulorum	s__Centipeda_sp001717585	s__Prevotella_oris	s__Eubacterium_B_infirmum	s__Prevotella_conceptionensis	s__Pauljensenia_pyogenes_A	s__Paraprevotella_clara	s__Prevotella_sp000599605	s__Streptococcus_intermedius	s__Pauljensenia_sp000185285	s__Dialister_sp900543165	s__Ottowia_sp001262075	s__HOT-345_sp013333605	s__Porphyromonas_endodontalis	s__Actinomyces_massiliensis	s__Porphyromonas_catoniae	s__Fusobacterium_nucleatum	s__Prevotella_sp900540375	s__Prevotella_intermedia	s__Prevotellamassilia_sp002933955	s__GN02-872_sp002761215	s__F0058_sp000163695	s__RZZT01_sp010014525	s__Prevotella_micans	s__GN02-873_sp003260345	s__Suttonella_indologenes	s__Fructilactobacillus_lindneri	s__Simonsiella_muelleri	s__Veillonella_atypica	s__Prevotella_saccharolytica	s__SZUA-359_sp003246575	s__Bergeyella_A_cardium	s__Centipeda_massiliensis	s__Capnocytophaga_endodontalis	s__Capnocytophaga_stomatis	s__Prevotella_nigrescens	s__Treponema_medium	s__Ancrocorticia_sp014041995	s__UBA2866_sp007845165	s__Scardovia_wiggsiae	s__UBA1103_sp013333515	s__Neisseria_bacilliformis	s__Selenomonas_sputigena	s__Arachnia_propionica	s__Corynebacterium_argentoratense	s__Pauljensenia_odontolytica	s__Capnocytophaga_ochracea	s__UBA8529_sp013141385	s__Aminipila_butyrica	s__Metamycoplasma_orale	s__Actinomyces_sp001278845	s__Tannerella_sp002890585	s__Eikenella_corrodens	s__Treponema_D_sp002393835	s__Haemophilus_aegyptius	s__Tannerella_sp003033925	s__Allisonella_pneumosintes	s__Streptococcus_constellatus	s__Peptoanaerobacter_yurii	s__Prevotella_pleuritidis	s__Centipeda_sp000315545	s__Limosilactobacillus_fermentum	s__Treponema_sp000775995	s__Eubacterium_N_saphenum	s__Leptotrichia_sp013394795	s__Eubacterium_M_brachy	s__Parvimonas_micra	s__Treponema_vincentii	s__Lancefieldella_rimae	s__Treponema_C_lecithinolyticum	s__Parvimonas_sp000214475	s__Weissella_hellenica_B	s__Johnsonella_sp900766185	s__Parascardovia_denticolens	s__Mogibacterium_timidum	s__Treponema_D_sp000619925	s__Moraxella_catarrhalis	s__Propionibacterium_cyclohexanicum	s__Treponema_B_denticola	s__Rodentibacter_sp901420285	s__Porphyromonas_gingivalis	s__Oribacterium_sp000160135	s__UBA1191_sp900066305	s__Vallitalea_A_okinawensis	s__Prevotella_oralis	s__Anaeroglobus_geminatus	s__Agathobaculum_sp900291975	s__Naumannella_cuiyingiana	s__Kroppenstedtia_eburnea	s__Akkermansia_muciniphila	s__Reyranella_sp001557035	s__Bordetella_pertussis
S_8123220	0.103979785	0.142766898	0.062539482	0.088313329	0.022362603	0.037271004	0.128111181	0.013897663	0.036133923	0.067340493	0.01427669	0.008212255	0.008338598	0.032217309	0.00795957	0.035754896	0.011497157	0.007833228	0.007327858	0.003537587	0.016677195	0.011370815	0.010233733	0.006696147	0.006190777	0.003790272	0	0	0	0.010360076	0	0.003537587	0.006822489	0.00846494	0.008085913	0.001895136	0	0.004042956	0	0.00315856	0.016550853	0	0	0	0.00315856	0	0	0.002147821	0	0	0.001768793	0.000379027	0.00050537	0.002274163	0.002400505	0.001642451	0.000631712	0	0.007327858	0.008717625	0.001895136	0	0.002526848	0	0	0.001768793	0	0	0.001263424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000126342	0	0	0	0.002526848	0.000379027	0.00050537	0	0	0	0.00050537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_8123225	0.097958297	0.053214596	0.037033015	0.06157689	0.019874023	0.068418766	0.077106864	0	0.014226759	0.007276281	0.020199826	0.003366638	0.023349262	0.032037359	0.013032146	0.007710686	0.037684622	0.01965682	0.007493484	0.06787576	0	0.000651607	0.013792354	0.016507385	0.008796699	0.009774109	0	0	0	0.004669852	0.003040834	0.003909644	0.004018245	0.009448306	0.01607298	0	0	0.00271503	0.052562989	0.00086881	0.006081668	0	0.009991312	0	0.023783666	0.002172024	0.004235447	0.001194613	0.004126846	0.00358384	0.009882711	0	0.009991312	0.001086012	0	0.002280626	0.002063423	0.000434405	0	0	0	0	0	0	0.001194613	0.003909644	0.001520417	0.011511729	0.000977411	0.00445265	0.017050391	0	0.000543006	0	0.006841877	0.003258036	0	0.000760209	0.00086881	0	0	0	0	0.000977411	0.001846221	0	0.000977411	0	0.001846221	0.001411816	0.011511729	0.001520417	0.001303215	0	0.001303215	0	0.00086881	0.000651607	0	0	0	0	0.001846221	0.003149435	0	0	0	0.003801043	0	0	0.000977411	0	0.004669852	0	0	0	0.001629018	0.001954822	0	0.001303215	0	0	0	0.001086012	0	0	0.000325804	0	0.00086881	0.00086881	0	0	0.002063423	0	0	0.000651607	0	0.000543006	0	0	0	0.000325804	0	0	0	0
S_8123226	0.040229407	0.105893109	0.218809741	0.169894438	0.013008063	0.028842158	0.056562214	0.01375613	0.027470701	0.140387332	0.022400465	0.009392403	0.007355997	0.003366304	0.024727787	0.003075389	0.00419749	0.003906575	0.002327321	0.001703932	0.000498712	0.001246779	0.002493558	0.007439116	0.001371457	0.027678497	0	0	0	0.001329898	0	0.000997423	0.001163661	0.001163661	0.001579254	0	0.000748067	0.007896268	0.001163661	0	0.001662372	0.003989693	0	0	0.001080542	0.003116948	0.000374034	0.005319591	0	0.002701355	0.00058183	0.000789627	0.000457152	0.000415593	0.001329898	0.00241044	0.000706508	0.000997423	0.002909151	0.00361566	0.000664949	0.002576677	0.000706508	0	0.00058183	0.001038983	0	0.000332474	0	0	0	0.000498712	0.001288338	0.001080542	0	0.000831186	0	0	0.000207797	0	0	0	0	0.000249356	0	0	0.000498712	0	0	0	0	0	0	0	0.000207797	0	0.000789627	0	0.001620813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000290915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_8123227	0.100829412	0.108690269	0.062639266	0.229078978	0.05372617	0.044256004	0.04184204	0.003466205	0.019187918	0.065486506	0.060906165	0.009346373	0.010769993	0.004827928	0.016526368	0.001918792	0.004642238	0.016402575	0.003032929	0.002104481	0.012750681	0.00656103	0.007737064	0.008479822	0.003280515	0.003528101	0	0	0	0.00266155	0	0.002971032	0.004332756	0.004580342	0.000618965	0.001176034	0.001361723	0.002042585	0.00247586	0.002290171	0.01312206	0	0	0	0.00247586	0.008232236	0.000804655	0.001733102	0.001176034	0	0.001361723	0.000309483	0.000433276	0.000680862	0.008727408	0.00266155	0.006313444	0	0.002290171	0	0	0	0.001299827	0	0.001856895	0.000371379	0	0.000680862	0.000990344	0	0	0.002042585	0	0.000866551	0	0.000866551	0.003837584	0	0.000247586	0	0	0	0	0.000495172	0	0.000680862	0.00123793	0.000247586	0	0.000247586	0.000618965	0	0	0.000371379	0	0	0.000928448	0	0	0	0.00123793	0.000247586	0	0	6.19E-05	0	0	0	0	0	0.000433276	0.000804655	0	0.000495172	0.000495172	0.000247586	0	0	0	0	0.00018569	0.000742758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000309483	0	0	0	0	0	0	0
S_8221213	0.077081016	0.074600051	0.041064248	0.092907862	0.066216101	0.076225511	0.028916075	0.063991787	0.019248866	0.042518607	0.130036787	0.005133031	0.015570194	0.019676619	0.014372487	0.022499786	0.015142442	0.008811703	0.002480965	0.004363076	0.031910343	0.005731885	0.006758491	0.017195654	0.005817435	0.027033964	0	0	0	0.007613996	0.001796561	0.00162546	0.002908718	0.003849773	0.0082984	0	0	0.004020874	0	0.003593122	0.006330738	0	0	0	0.004448627	0	0.000684404	0.001882111	0.002138763	0	0.002823167	0.000513303	0.000855505	0.00325092	0	0.00171101	0.004448627	0.000513303	0	0	0	0	0.002908718	0	0.000513303	0.001026606	0	0	0.000598854	0.001026606	0	0.001539909	0.001283258	0	0.000941056	0	0	0	0.00325092	0	0	0.001026606	0	0	0	0.001283258	0.000855505	0.000684404	0	0	0	0	0	0	0	0.001283258	0	0.000513303	0	0	0	0	0	0	0	0	0	0	0.002309864	0	0	0	0	0	0.000342202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_8221222	0.128544949	0.107970343	0.099907322	0.096478221	0.030120482	0.132066728	0.064040778	0.010009268	0.052363299	0.011677479	0.023632994	0.002502317	0.007506951	0.02326228	0.006209453	0.009360519	0.018906395	0.007784986	0.008619092	0.003521779	0	0.003892493	0.003707136	0.005004634	0.006209453	0.055885079	0	0.002502317	0	0.00583874	0	0	0.001946247	0.006765524	0.011121409	0.001204819	0	0.001482854	0	0.002409639	0.002409639	0	0	0.001668211	0.00639481	0.004448563	0.000741427	0.001112141	0	0.001204819	0	0.000463392	0.00055607	0	0	0	0.003985171	0	0.003614458	0.003892493	0	0	0	0	0.000370714	0.004911956	0	0	0.000741427	0	0	0	0	0	0	0	0.003429101	0	0	0	0	0	0	0	0	0.001390176	0.001297498	0	0	0.00231696	0	0.000926784	0	0.000463392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000463392	0.000741427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_8221227	0.11003861	0.043436293	0.019412269	0.256274132	0.06981982	0.100975976	0.048530674	0.016516517	0.028099528	0.038449163	0.05507293	0.006166881	0.007775633	0.010939511	0.006327756	0.01453239	0.012333762	0.005845131	0.006113256	0.002359502	0	0.004397254	0.002842128	0.001555127	0.006649507	0.006649507	0	0	0.060971686	0.002788503	0.001126126	0.002198627	0.002627628	0.004450879	0.006595882	0.001072501	0	0.00032175	0	0.001179751	0.003861004	0	0.006810382	0	0	0	0	0.002145002	0.000804376	0	0.000429	0.000268125	0.0002145	0.0002145	0	0.000697126	0.000429	0.000375375	0.003914629	0.002359502	0.001018876	0	0.000643501	0.000375375	0.000375375	0.003432003	0	0.0002145	0.0002145	0.001126126	0	0	0	0.000697126	0	0.000750751	0	0	0	0.000858001	0	0	0	0	0	0.000697126	0.000965251	0.000965251	0	0	0	5.36E-05	0	0	0	0	0	0.000429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_8221231	0.090450267	0.06090507	0.054383577	0.048202336	0.017693093	0.050300556	0.037881366	0.291142113	0.032210502	0.109277532	0.013893615	0.007315413	0.012702733	0.009640467	0.007428831	0.010320971	0.015197913	0.006067824	0.003345809	0.006918453	0.000623795	0.004423273	0.002325054	0.004253147	0.003515935	0.038391743	0	0	0	0.004593399	0	0.005897698	0.003969604	0.001134173	0.005330611	0.00039696	0	0	0.003799478	0.001531133	0.001701259	0	0	0.002722014	0.00453669	0	0.00039696	0.005047068	0.00164455	0	0.001190881	0.000567086	0.001417716	0.000113417	0	0.002041511	0.000510378	0.000793921	0.001814676	0.001077464	0	0.001531133	0	0	0.00039696	0.001928093	0	0	0	0	0	0	0	0.001701259	0	0	0	0	0.000226835	0.000737212	0.000850629	0	0	0	0	0.000793921	0	0	0	0.000283543	0	0	0	0	0	0	0	0.000340252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000170126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_8221232	0.071150442	0.075280236	0.009439528	0.126371681	0.019351032	0.033628319	0.163775811	0.029262537	0.041769912	0.014631268	0.020766962	0.004011799	0.03079646	0.022182891	0.013569322	0.032684366	0.016283186	0.012389381	0.016519174	0.005427729	0.002477876	0.011327434	0.005073746	0.012389381	0.008377581	0.031504425	0	0.008495575	0	0.022772861	0	0.006961652	0.010265487	0.005663717	0.025722714	0.002831858	0	0	0	0.008141593	0.014513274	0	0.001297935	0	0.001533923	0.008023599	0.000825959	0.002241888	0.003893805	0.002477876	0.001769912	0	0.003303835	0	0.004365782	0.001297935	0.000235988	0	0.005309735	0	0.005309735	0	0	0	0.000471976	0.003185841	0	0	0.002359882	0.002241888	0	0	0	0	0	0.001651917	0	0	0	0.000825959	0	0	0	0	0	0.001179941	0.001061947	0.001533923	0	0	0.000707965	0.000353982	0	0	0	0	0	0.000825959	0	0.004365782	0	0	0.000471976	0	0.001061947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_8222219	0.101803922	0.09772549	0.033803922	0.32007843	0.008235294	0.093333333	0.032705882	0.00572549	0.013098039	0.030117647	0.023686275	0.004627451	0.026039216	0.007058824	0.015764706	0.02572549	0.012156863	0.018509804	0.001960784	0.014980392	0	0.006352941	0.00172549	0.017176471	0.002352941	0.007921569	0	0.006117647	0	0.00454902	0.007843137	0	0.002901961	0.002431373	0	0.000941176	0.004705882	0	0	0.001882353	0.00454902	0	0	0	0.006901961	0	0.001882353	0.003686275	0.00172549	0	0.002745098	0.000941176	0.00227451	0.004156863	0	0.003764706	0.000705882	0.001019608	0.003137255	0	0	0.001882353	0	0	0	0.000392157	0.001176471	0.000156863	0	0	0	0	0.000627451	0	0.000156863	0.000392157	0	0	0	0	0	0	0	0	0	0.000862745	0	0.000470588	0	0	0	0	0	0	0	0.000235294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001647059	0	0.000470588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
