index,S9_11,S9_12,S9_14,S9_1,S9_2,S9_6,S9_7,S9_9,S11_11,S11_12,S11_14,S11_1,S11_2,S11_6,S11_7,S11_9,S17_11,S17_12,S17_14,S17_1,S17_2,S17_6,S17_7,S17_9
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,114,0,0,57,353,320,3,9,391,0,214,12,193,28,33,314,0,55,76,49,0,249,45,7
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Kingella_B,136,126,18,8,5,11,124,11,61,47,29,18,33,25,33,25,52,16,27,18,64,0,25,15
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Eikenella,108,163,52,74,67,59,404,125,86,141,84,106,63,170,201,114,109,41,36,106,63,21,147,146
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Muricomes,0,0,0,0,0,0,0,0,41,0,0,22,19,0,11,6,0,54,40,39,0,73,32,16
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosacchariphilus,16,0,0,14,23,107,13,0,235,0,93,9,58,0,0,84,0,0,26,9,0,124,22,27
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;__,71,0,0,7,20,111,0,4,58,0,77,0,0,0,12,27,0,20,23,10,0,132,30,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502,11,0,0,0,0,50,9,0,86,0,91,0,0,0,0,45,0,221,0,0,0,30,7,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea,21,0,0,19,0,47,6,0,0,0,69,0,0,0,0,72,0,16,0,18,0,45,15,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872,70,0,0,14,5,186,14,0,95,0,105,0,10,52,2,116,0,74,62,12,0,275,48,28
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G,29,0,0,0,0,0,0,0,53,0,63,0,24,0,0,28,0,72,0,0,0,0,0,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110,144,0,0,0,0,0,0,0,50,0,52,0,0,0,0,43,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127,82,0,0,0,6,12,42,0,114,0,246,0,34,0,0,21,0,106,22,8,0,24,90,6
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia,184,193,50,26,70,68,136,34,35,36,47,30,86,87,229,36,0,24,109,40,99,117,97,49
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,0,0,0,0,0,0,0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;__,22,17,40,6,0,33,134,32,17,21,14,17,33,190,131,34,0,21,303,4,0,30,73,39
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_AN,0,0,0,0,40,19,0,3,293,0,0,18,71,0,0,0,0,17,11,12,0,31,7,5
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus,0,0,0,0,0,0,0,0,31,0,36,0,0,0,0,45,0,141,0,0,0,0,0,0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia,113,0,0,36,0,15,0,0,0,0,7,10,0,0,0,115,0,33,0,39,0,31,0,0
d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__BD1-5;f__UBA2023;g__GN02-873,0,0,2,9,3,9,12,147,0,0,8,28,0,39,13,195,2,0,8,19,4,9,0,195
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum,10,0,0,42,0,208,6,0,190,0,121,19,9,0,72,181,0,207,71,99,0,365,64,55
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,31,0,0,7,0,37,0,8,29,0,128,0,0,0,0,80,0,17,20,2,0,57,37,11
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__NSJ-54,0,0,0,0,0,71,0,0,42,0,40,0,0,6,0,22,0,0,0,0,0,82,0,6
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1394,0,0,0,7,11,0,5,0,130,0,0,13,66,0,16,12,0,84,34,29,0,48,28,45
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D,154,68,491,112,119,45,364,254,29,39,143,50,37,33,109,112,6,27,174,18,75,167,202,374
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAG-521,0,0,2,0,0,128,0,0,59,0,39,0,0,0,0,55,0,0,0,0,0,87,0,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UMGS363,0,0,7,0,25,61,27,0,44,0,51,23,48,3,9,0,0,116,62,13,0,417,53,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA4334,0,0,4,0,0,0,0,0,49,0,0,0,0,0,67,0,0,41,62,43,0,126,31,27
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Mogibacterium,15,35,36,8,34,23,15,0,13,16,30,11,38,9,15,0,12,0,43,0,8,0,13,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Emergencia,25,0,0,0,13,33,0,0,77,0,10,19,20,8,3,21,0,23,5,40,0,19,0,0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella_E,60,0,6,24,0,27,9,0,12,0,26,0,5,11,0,56,0,56,22,37,0,9,11,4
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Rodentibacter,0,0,0,16,0,17,81,26,0,0,46,13,10,5,175,0,0,0,0,14,0,0,54,9
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Aureimonas_A,24,26,0,0,0,0,27,0,27,3,41,0,10,104,5,0,87,0,9,13,0,19,0,10
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium,86,0,0,0,0,0,0,0,43,0,35,0,0,0,0,30,0,28,0,4,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41,26,0,7,27,5,28,7,2,30,0,46,3,23,0,8,74,0,33,10,37,0,63,9,16
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1417,26,0,6,0,0,5,0,0,25,0,20,10,0,9,0,16,0,13,23,17,0,11,13,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UBA2730,0,0,0,0,26,0,19,0,183,0,34,4,0,0,7,0,0,0,15,0,0,0,25,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RF16,23,0,75,0,39,4,4,0,174,0,0,16,4,15,6,0,0,5,177,4,0,22,2,3
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA5446,74,0,70,38,101,26,63,33,327,0,175,17,80,7,15,111,0,54,151,14,0,45,78,57
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum,8,0,4,0,966,17,0,0,0,0,0,0,3,12,0,1,0,5,11,7,0,327,6,4
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Mesosutterella,0,0,0,0,0,87,0,0,42,0,34,0,14,0,0,28,0,0,0,0,0,58,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;__,32,6,0,0,2,0,55,0,10,10,82,0,0,0,0,0,1,0,0,0,0,9,48,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E,32,0,6,8,13,131,31,0,54,0,77,41,9,8,19,24,0,27,16,20,0,106,39,6
d__Bacteria;p__Firmicutes_A;__;__;__;__,26,0,0,0,104,53,10,0,189,0,41,0,0,0,8,0,5,0,30,27,0,164,25,0
d__Bacteria;p__Firmicutes_B;c__Peptococcia;__;__;__,19,207,26,39,22,38,47,27,13,61,31,18,41,17,26,24,21,18,19,13,0,9,0,18
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__W5053,0,0,5,9,29,35,11,0,13,0,0,13,51,0,6,10,0,0,0,0,32,0,0,0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella,38,0,150,22,14,50,61,13,24,49,61,11,31,15,61,20,11,15,59,20,0,19,42,16
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Eubacterium_B,22,0,74,23,14,36,17,20,0,30,0,16,23,16,38,18,12,0,0,12,23,33,0,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E,6,71,258,0,0,6,0,0,0,70,0,0,0,0,0,0,47,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C,55,0,0,0,0,0,56,0,21,0,145,5,0,15,0,22,0,42,4,0,0,0,32,0
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Anaeroglobus,20,31,69,0,9,36,93,0,5,15,9,4,11,19,33,19,9,0,59,9,9,0,29,10
d__Bacteria;p__Bacteroidota;c__Bacteroidia;__;__;__,10,6,7,6,3,37,0,2,9,0,14,5,5,7,1,0,0,11,18,2,4,211,0,13
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella,0,0,0,2,470,61,0,0,0,0,10,0,0,6,6,0,0,5,2,3,0,171,0,8
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria,0,58,0,0,0,0,0,0,0,114,0,0,0,0,0,0,49,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485,2,0,41,0,812,154,0,0,3,0,0,0,0,5,0,0,0,0,78,0,0,1155,30,16
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__RQZE01,8,0,0,11,0,7,33,0,21,0,17,8,0,0,0,6,0,5,11,22,0,11,26,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;__,0,0,0,0,0,0,0,19,22,0,0,0,0,0,0,6,8,4,0,20,0,3,0,31
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,3,0,0,0,11,116,0,0,0,0,0,0,0,1,0,1,0,33,19,0,0,478,21,10
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA1103,52,5,23,0,20,9,55,4,17,7,21,0,23,9,0,10,6,3,7,6,4,0,13,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F,41,0,0,18,0,5,0,0,18,0,0,0,0,0,11,49,0,36,7,16,4,49,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;__,4,0,10,0,0,0,5,0,29,5,22,0,4,26,0,8,0,0,7,0,0,10,0,0
d__Archaea;p__Halobacteriota;c__Methanocellia;o__Methanocellales;f__Methanocellaceae;g__Methanocella,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Ancrocorticia,75,15,24,3,0,5,24,4,19,39,11,0,0,26,16,0,21,5,9,9,7,0,4,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massilioclostridium,21,0,0,8,0,30,0,0,12,0,23,0,0,0,0,46,0,9,17,8,0,32,11,17
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Amedibacterium,0,0,0,0,0,41,0,0,20,0,15,0,0,0,0,11,0,0,0,0,0,21,0,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__SFTJ01,12,0,14,10,13,0,18,0,47,0,35,0,12,0,0,38,0,9,36,17,2,11,31,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A,14,0,0,0,0,36,0,0,22,0,27,0,0,0,0,4,0,0,0,0,0,29,0,0
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Centipeda,95,57,127,2,65,54,109,124,37,113,71,47,49,29,57,36,28,0,68,26,15,10,9,90
d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-917;g__CAG-475,57,24,54,0,20,20,37,0,34,6,49,12,18,7,19,11,0,0,23,19,4,4,11,4
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium,0,0,0,0,10,9,0,0,21,0,30,2,8,0,0,27,0,0,0,0,0,8,0,0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidipila,0,141,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173,5,0,0,13,182,4,0,5,8,0,0,17,20,41,9,28,0,18,13,6,0,96,15,29
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus,0,95,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Clostridioides,10,0,0,0,0,0,0,0,0,0,27,0,22,0,0,27,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella,0,3,4,0,33,58,0,0,19,0,18,0,0,0,0,7,0,0,0,0,0,25,0,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus,4,0,26,0,13,18,29,0,0,0,45,0,4,0,0,0,0,3,61,19,0,91,23,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Johnsonella,9,187,8,28,23,21,25,14,21,156,13,12,26,3,10,81,0,0,0,0,4,0,0,15
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1191,16,14,40,14,4,0,0,7,0,10,20,0,13,0,12,0,0,0,41,0,0,0,0,3
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus,6,28,11,3,27,9,18,0,0,16,8,5,18,0,11,0,6,0,0,0,7,0,4,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia,51,27,17,20,29,0,9,32,26,73,29,8,7,8,29,37,39,38,19,50,18,11,10,9
d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;__,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UMGS1004,0,0,5,0,22,24,0,0,51,0,0,0,0,0,0,3,0,27,18,7,0,119,24,10
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum,0,0,5,12,0,39,0,4,39,0,26,0,0,0,0,73,0,60,12,5,0,12,0,14
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA2866,12,0,0,0,24,9,31,0,0,18,0,0,11,10,27,0,4,2,0,6,7,25,12,6
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-45,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,38,0,17,0,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,17,24,0,32,19,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Anaeromassilibacillus,5,0,0,0,0,9,6,0,11,0,18,2,0,0,0,21,0,0,19,18,0,13,15,0
d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Acetomicrobiaceae;g__Acetomicrobium,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mesomycoplasma,0,0,15,2,8,0,0,0,10,0,0,4,0,0,0,11,0,0,24,0,0,0,0,0
d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-488,0,0,0,0,0,0,11,0,6,0,21,5,106,0,11,0,0,0,0,3,3,45,10,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7050,11,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,111,0,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__,15,15,128,0,0,0,0,0,0,20,3,0,4,2,2,2,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;__,0,0,0,14,20,3,27,0,18,6,57,0,11,3,0,10,0,6,3,27,0,6,21,4
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas,30,25,70,23,38,49,45,55,0,62,42,16,25,15,14,41,0,0,29,14,0,0,11,40
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga,0,22,0,0,0,0,0,0,0,105,0,0,0,4,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella_A,0,0,0,5,0,0,0,21,0,0,0,10,0,0,0,21,0,0,0,0,0,0,0,24
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__F0428,0,0,12,4,16,0,0,13,0,0,12,0,20,0,0,18,0,0,47,0,0,13,0,14
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__RUG13077,5,0,4,5,5,10,0,0,26,0,12,14,0,0,0,0,0,0,15,5,0,27,0,4
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;__,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,0,0,0,0,0,27,0,0,21,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum,0,0,0,0,110,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,13,0,0
d__Bacteria;p__Firmicutes_B;__;__;__;__,0,0,31,0,0,0,0,0,0,0,29,0,0,0,0,0,11,0,18,0,0,8,0,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Simonsiella,0,0,0,0,7,0,32,18,0,0,0,6,12,9,27,13,0,0,0,0,0,6,14,45
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium,0,90,0,0,0,32,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,77,20,0
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Succiniclasticum,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,62,0,0,0,5,0,0
d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Wolinella,0,0,10,0,0,0,16,0,4,0,10,0,0,0,0,6,0,2,0,4,0,0,7,3
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__66-474,0,246,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Soleaferrea,5,0,2,0,9,0,17,7,58,0,24,0,0,0,0,0,0,9,22,3,0,0,29,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__RUG13160,7,0,3,0,9,0,2,0,51,0,0,5,0,0,0,9,0,0,15,5,0,0,6,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873,8,0,0,8,0,9,5,0,3,0,0,0,0,4,0,12,0,3,7,11,0,17,0,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Ruminiclostridium,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,27,11,0,0,64,8,0
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Anaerovibrio,0,0,0,10,0,0,10,0,0,0,11,0,0,22,0,10,0,18,12,11,0,13,19,13
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas,14,0,2,0,0,79,0,0,44,0,33,0,0,0,0,28,0,0,0,0,0,70,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Ileibacterium,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Chitinophaga,0,43,8,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus,0,0,0,0,0,30,0,0,15,0,12,0,0,0,0,0,0,0,0,0,0,18,0,0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_C,0,33,0,0,0,0,0,0,0,18,0,0,0,0,0,0,23,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella,15,30,24,0,0,0,6,5,0,40,0,0,0,0,0,0,4,0,0,0,4,0,0,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio,9,0,0,6,0,0,9,0,6,0,6,0,4,0,0,0,0,0,3,0,0,0,11,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc,0,48,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas,0,0,9,0,31,0,5,0,72,0,4,0,7,8,0,15,0,19,14,0,0,54,6,17
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Bergeyella_A,0,0,7,8,0,0,20,11,0,0,18,9,0,17,12,15,0,12,78,14,12,1,13,5
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
d__Bacteria;p__Firmicutes;c__Alicyclobacillia;o__Tumebacillales;f__Tumebacillaceae;g__Tumebacillus_A,0,40,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__UBA964,0,87,0,0,0,9,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,16,3,3
d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-138;g__CAG-1024,0,0,0,0,7,0,0,0,24,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__SDRW01,0,0,0,0,0,0,49,0,0,11,0,0,0,0,32,0,7,0,0,0,0,0,0,0
