index,S9_11,S9_12,S9_14,S9_1,S9_2,S9_6,S9_7,S9_9,S11_11,S11_12,S11_14,S11_1,S11_2,S11_6,S11_7,S11_9,S17_11,S17_12,S17_14,S17_1,S17_2,S17_6,S17_7,S17_9
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus,22,0,288,86,5612,168,14,53,29,0,0,0,3,25,49,113,0,51,40,84,7,218,41,126
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B,0,0,0,0,0,385,0,0,627,0,653,0,415,0,0,458,0,0,6,0,0,391,0,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,285,0,60,18,99,1082,5,15,1485,5,1378,5,1181,0,8,1335,0,487,99,4,0,951,21,25
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium,126,1009,294,123,309,205,223,49,142,209,188,87,357,90,225,127,37,71,95,91,125,22,75,84
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia,715,332,1484,242,293,184,1519,158,441,463,2179,359,244,444,819,530,443,69,1578,362,43,178,344,272
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_A,165,31,65,402,79,48,54,29,1119,39,141,289,295,82,94,198,3716,129,311,644,3920,8,77,83
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus,197,0,178,188,3581,110,8,81,69,0,26,24,93,201,64,288,0,426,167,223,23,298,83,273
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira,75,0,14,35,0,52,55,7,660,0,729,2,230,60,27,443,0,1063,76,89,0,127,62,17
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;__,0,0,164,79,23,109,1116,84,15,0,157,111,94,49,736,27,0,20,94,28,0,11,223,9
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia,200,7,285,190,422,358,171,58,371,13,201,104,203,466,347,365,17,523,600,486,8,1021,519,425
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerella,134,383,154,122,274,174,421,139,109,191,160,119,349,43,101,166,31,82,163,48,167,28,65,70
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia,312,0,43,217,62,117,220,157,410,0,1179,138,363,131,255,1112,0,1480,174,760,49,329,430,382
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera,92,0,0,101,0,250,0,0,16,0,53,14,41,137,119,270,0,321,82,309,12,386,127,67
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium,250,0,0,0,28,678,2,0,419,0,496,0,55,0,5,396,0,182,0,7,0,509,3,0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Pseudoleptotrichia,52,200,258,26,15,35,107,32,74,168,511,66,20,12,92,186,14,80,1607,77,0,74,139,145
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A,856,5,55,160,67,100,308,48,621,0,1002,55,212,245,69,600,0,391,236,231,27,321,465,229
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister,69,233,202,44,96,52,190,68,65,207,78,59,73,62,63,140,56,22,82,20,34,19,45,108
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus,71,0,12,79,0,19,51,4,101,0,168,39,21,0,35,278,0,330,99,126,9,112,87,51
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__,135,0,29,26,18,154,88,15,212,0,395,13,16,34,15,194,0,313,61,49,5,361,115,65
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter,55,0,0,0,16,100,0,0,230,0,275,0,32,0,0,183,0,460,0,0,0,101,0,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter,0,0,0,0,0,405,0,0,190,0,248,0,41,0,0,171,0,0,10,0,0,414,0,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;__,73,45,179,94,23,181,999,52,103,34,129,9,0,19,543,40,96,37,155,22,19,72,371,47
d__Bacteria;__;__;__;__;__,760,911,222,403,383,559,225,55,746,1250,726,186,542,464,142,406,1216,393,308,69,123,438,44,22
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__,738,308,766,263,414,641,902,88,1658,108,2737,195,501,90,370,1299,70,1879,825,685,72,2067,1070,569
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R,162,0,71,31,120,97,129,0,699,0,352,290,82,110,80,98,0,564,299,137,6,378,383,179
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia,21,0,55,8,161,54,0,0,162,0,148,15,211,0,17,132,0,33,38,17,0,46,15,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Cardiobacterium,177,803,67,46,47,52,155,42,52,560,95,80,68,84,89,78,112,55,53,49,76,10,28,31
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__TM7x,63,52,96,38,61,79,495,43,51,17,55,55,52,46,478,13,11,9,68,52,3,59,267,21
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;__,30,204,0,34,79,2,16,94,78,229,0,64,33,4,15,92,121,67,0,149,174,0,0,172
d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Metamycoplasma,33,55,180,89,139,21,112,41,47,55,133,37,134,40,45,76,13,0,117,16,32,4,26,13
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor,110,0,42,51,25,48,35,19,149,0,215,47,139,0,108,168,0,92,108,215,0,202,84,57
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Parvimonas,308,250,55,73,35,96,103,35,73,241,88,32,102,87,56,122,150,24,67,74,24,0,23,29
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;__;__,72,0,5,5,106,120,111,1,327,0,166,110,71,151,96,7,2,66,25,103,0,322,121,23
d__Bacteria;p__Firmicutes_A;c__Clostridia;__;__;__,157,19,175,177,103,280,289,67,159,12,729,63,117,110,116,328,3,345,457,368,5,400,342,170
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoanaerobaculum,110,511,112,36,62,114,90,43,63,154,117,39,113,44,76,119,77,18,97,58,30,89,21,42
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;__,110,0,94,405,1428,263,121,30,277,0,209,248,138,233,105,591,3,346,464,253,38,1632,292,201
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium,60,0,19,49,96,33,48,0,441,0,68,64,51,5,42,116,0,88,61,117,8,82,81,24
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptostreptococcus,15,93,74,63,50,63,56,71,23,89,58,33,71,30,52,135,13,44,67,17,31,67,34,90
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Eubacterium_A,55,79,233,25,50,44,51,33,43,42,257,38,61,16,35,52,29,19,138,59,25,12,45,17
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Eubacterium_N,18,160,66,180,124,199,325,33,26,56,49,110,334,53,154,54,0,17,26,55,143,0,18,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,114,0,0,0,0,114,0,0,268,0,253,0,47,0,0,223,0,396,1,0,0,143,0,0
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_B,96,616,865,178,949,50,554,166,74,85,269,86,107,44,114,249,3,23,406,20,99,0,27,154
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__F0058,302,759,53,49,44,81,180,36,101,290,87,48,50,38,38,67,49,49,59,29,21,16,15,24
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A,0,0,0,0,0,187,0,0,171,11,283,0,460,0,0,198,0,12,0,0,0,53,0,0
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__F0422,14,0,159,76,163,44,90,89,58,0,220,59,198,120,60,169,9,31,846,54,303,40,3,218
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Terrisporobacter,26,0,14,34,40,33,26,0,254,0,55,59,69,18,49,56,0,30,22,91,8,50,51,12
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,72,0,0,0,153,252,0,0,159,0,155,2,6,0,2,123,0,4,6,0,0,286,5,3
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Vallitaleaceae_A;g__Vallitalea_A,111,174,39,56,99,53,58,14,60,89,31,41,88,15,36,28,21,6,45,21,51,0,18,12
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__BBW3;g__UBA8529,116,338,100,154,58,55,191,26,47,186,123,37,34,21,56,47,28,8,105,29,23,0,33,15
