sample_id,s9_11,s9_12,s9_14,s9_1,s9_2,s9_6,s9_7,s9_9,s11_11,s11_12,s11_14,s11_1,s11_2,s11_6,s11_7,s11_9,s17_11,s17_12,s17_14,s17_1,s17_2,s17_6,s17_7,s17_9
Oribacterium,0.34187,0.50723,0.88502,0.43106,0.91847,0.50028,0.36915,0.05598,0,0.18875,0.23426,0.00627,0.69642,0.4291,0.33688,0.07391,0,0.03358,0.01515,0.00121,0.42416,0.25793,0.23622,0.07523
Olsenella_F,0.01903,0.05112,0.01532,0,0,0.00117,0,0.00347,0,0.12304,0,0,0,0.00731,0,0.00254,0,0,0,0,0,0,0.00601,0.00133
Cutibacterium,0,0.10969,0,0,0.1225,0,0,0,0,0.10087,0,0.00204,0,0.08299,0,0,0,0,0,0.00281,0,0.08737,0,0
Slackia,0,0,0,0,0,0.0002,0,0.00088,0,0.06636,0,0,0,0,0.00227,0.00272,0,0,0,0,0,0,0.00291,0.00035
Olsenella,0,0,0,0,0,0,0,0.00064,0,0.05957,0,0,0,0,0,0.00119,0,0,0,0,0,0,0.00489,0.00128
Moraxella,0,0.49209,0,6.52129,0,0,0,9.07036,0,0.05446,0,1.64255,0,0.06401,0,10.97195,0.79196,0.21445,0,1.797,0,0.00623,0,11.25489
Abiotrophia,0,0,0.0059,0.0615,0,0.01177,0,0.02665,0,0.08835,0.04503,0.17404,0,0.08355,0.00744,0.04268,0,0.32126,0,0.09302,0,0.07302,0,0.02616
Nanosyncoccus,0,0.00295,0,0,0.10311,0.06357,0.0366,0.02267,0,0.04879,0,0,0.07196,0.02874,0.13871,0.02549,0,0.00257,0,0,0.01017,0.00167,0.09666,0.01329
Lachnoanaerobaculum,0,0.02673,0.07836,0,0.00644,0.19443,0.02117,0.05126,0,0.04627,0.03939,0.00816,0,0.24294,0.11224,0.07996,0,0.00402,0.08516,0.00745,0,0.10231,0.06838,0.04827
Shuttleworthia,0,0,0.11623,0,0,0.00508,0.11781,0.00443,0,0.04281,0.05125,0.00544,0,0,0.14625,0.00827,0,0,0.01282,0.02059,0,0.00361,0.08021,0.00852
GCA-2749205,0,0.36758,0,0,0.09231,0.13514,0.08732,0.04107,0,0.03743,0,0,0,0.01022,0.02646,0.06769,0,0,0,0,0,0,0.01425,0.04804
Desulfobulbus,0.02243,0.19504,0.09933,0.00567,0.22548,0,0.1945,0.00436,0,0.03709,0.07884,0.00355,0.18057,0,0.04728,0.00807,0,0.00947,0.0288,0,0.06886,0,0.01449,0.00214
GN02-872,0,0.4757,0.17258,0,0.09377,0.017,0.22674,0.107,0,0.04324,0.29266,0.02514,0,0.20173,0.0249,0.1103,0,0.00689,0.24228,0.03378,0,0.12181,0.03123,0.08828
Treponema_D,0.01358,0.02909,0.45796,0.10056,0.1825,0.01463,0.11738,0.20181,0,0.01521,0.29089,0.04522,0.0238,0.00808,0.00142,0.21044,0,0,0.13226,0.0575,0.0657,0,0.00891,0.14325
Flexilinea,0,0.03067,0.0105,0,0.0558,0,0,0.00221,0,0.01445,0,0,0,0,0,0.00239,0,0,0,0,0,0,0,0.0009
Nanogingivalis,0,0.07033,0.42425,0.18691,0,1.019,0.46208,0.21493,0,0.01069,0.36808,0.16057,0,1.82106,0.87012,0.25425,0,0.02674,3.53911,0.39577,0,2.38767,0.79995,0.24983
JABCPO02,0.03436,0,0.13514,0.04861,0.00636,0.03993,0.37791,0.07186,0,0.01014,0.18294,0.02646,0,0.06178,0.23874,0.07981,0.0034,0.01222,0.16538,0.02511,0,0.02826,0.1557,0.04112
Kingella,0,0,0,0.00318,0,0.00775,0.0781,0.00337,0,0.00951,0,0.03134,0,0.02636,0.12651,0.00108,0,0,0,0.01938,0,0.00355,0.11234,0.00672
CAJPPJ01,0,0,0,0.00494,0.03045,0.27324,0,0.09811,0,0.00561,0,0.01291,0,0.05499,0,0.1468,0,0.00168,0,0.01649,0,0.01943,0,0.09834
Lawsonella,0,0,0,0,0,0,0,0,0,0.00466,0,0,0,0.00427,0,0,0,0,0,0,0,0.01012,0,0
Gordonia,0,0,0,0,0,0,0,0,0,0.00325,0,0,0,0,0,0,0,0,0,0,0,0.00389,0,0
JABCPH02,0,0,0.18688,0.01685,0,0.02887,0.31809,0,0,0,0.19356,0,0,0,0.09181,0,0,0,0.0226,0,0,0,0.04559,0
GN02-873,0,0,0.06116,0.05909,0.07922,0.03407,0,1.5098,0,0,0.12796,0.40386,0.00367,0.43479,0,1.36091,0,0.00957,0.01698,1.57601,0.20101,0.19226,0,0.9332
UBA4285,0,0,0.0301,0,0,0.0003,0,0,0,0,0.03425,0,0,0,0,0,0,0,0.02721,0,0,0,0,0
Phocaeicola,0,0,0.07514,0,0.04093,0,0.03529,0.02289,0,0,0.0252,0.00147,0,0,0.0091,0.01433,0,0,0.03493,0,0,0,0.00427,0.00916
Pseudoramibacter,0,0,0.01253,0,0,0,0.00778,0.00052,0,0,0.01605,0,0,0,0,0.00176,0,0,0.04539,0,0,0,0.00901,0.00035
Scardovia,0,0,0.07524,0,0,0.00249,0.03981,0,0,0,0.00861,0,0,0,0.0472,0,0,0,0,0,0,0,0.04684,0
F0428,0,0,0.01319,0,0,0.00685,0,0.01459,0,0,0.00557,0.00073,0,0.03716,0,0.01914,0,0,0.01168,0.00178,0,0.00847,0,0.00535
Simonsiella,0,0,0.00084,0,0,0.04153,0.1012,0.03321,0,0,0,0.00817,0,0.05153,0.17736,0.04516,0,0,0.04757,0.02519,0,0.12473,0.12509,0.09625
CAJPNX01,0,0,0,0,0.00642,0.08382,0.03639,0.07006,0,0,0,0.0068,0,2.15072,0.02495,0.10795,0.1373,0,0,0.01097,0,1.5644,0.00076,0.0508
CAG-793,0,0,0.0418,0.00587,0,0.5037,0.13703,0.04874,0,0,0,0.00695,0,0.0436,0.11367,0.0677,0,0,0,0.01251,0,0.02922,0.12155,0.07983
W5053,0,0,0,0,0.30258,0,0,0.00103,0,0,0,0,0.26271,0,0,0.00249,0,0,0,0,0.21387,0,0,3.00E-05
SDRK01,0,0,0.02204,0.01382,0,0.00223,0,0.00975,0,0,0,0,0,0.0447,0.00294,0.01023,0,0,0,0,0,0.00906,0.0009,0.00734
Stomatobaculum,0,0,0.01791,0,0,0.15249,0,0.0077,0,0,0,0,0,0.02757,0,0.01482,0,0,0,0,0,0.01604,0,0.00756
Psychrobacter,0,0,0,0,0,0.00126,0,0,0,0,0,0,0,0.00846,0,0,0,0,0,0,0,0.00153,0,0
Brevibacillus_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00358,0,0,0,0,0,0,0,0.00077,0,0
RUG343,0,0,0,0,0,0.37862,0.08169,0.00991,0,0,0,0,0,0.00204,0.17741,0.02673,0,0,0,0,0,0.01016,0.17541,0.01038
Mitsuokella,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00139,0,0,0,0,0,0,0,0,0.00238,0
Fructilactobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104,0,0,0,0,0,0,0,0,0,0
Desulfovibrio,0,0,0,0,0,0.00152,0,0.02754,0,0,0,0,0,0.00012,0,0.02216,0,0,0,0,0,0.00335,0,0.0121
Butyrivibrio,0,0,0.0026,0.02484,0,0.04297,0.00583,0.00155,0,0,0,0,0,0,0.00695,0.00631,0,0,0,0,0,0,0.00585,0.01074
Streptobacillus,0,0,0,0,0,0,0,0.05119,0,0,0,0,0,0,0,0.14757,0,0,0,0,0,0,0,0.14759
Eggerthia,0,0,0,0,0,0,0,0.0049,0,0,0,0,0,0,0,0.0167,0,0,0,0,0,0,0,0.00857
Pyramidobacter,0,0,0,0,0,0,0,0.0028,0,0,0,0,0,0,0,0.00668,0,0,0,0,0,0,0,0.00479
RGIG7111,0,0,0,0,0,0,0,0.00403,0,0,0,0,0,0,0,0.00381,0,0,0,0,0,0,0,0.00203
Brooklawnia,0,0,0,0,0,0,0,0.00091,0,0,0,0,0,0,0,0.00194,0,0,0,0,0,0,0,0.00011
Rouxiella,0,0,0,0,0,0,0,0.00555,0,0,0,0,0,0,0,0.00072,0,0,0,0,0,0,0,0
QFNR01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weissella,0,0,0,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klebsiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kurthia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides,0,0,0,0,0,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ligilactobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00668,0
Lactobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01619,0
Cryptobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0
Synergistes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium,0,0,0.1477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04369,0,0,0,0.00141,0
Microbacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00037,0,0,0,0
Olsenella_I,0,0,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cobetia,0,0,0,0.00983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
