id,S9_11,S9_12,S9_14,S9_1,S9_2,S9_6,S9_7,S9_9,S11_11,S11_12,S11_14,S11_1,S11_2,S11_6,S11_7,S11_9,S17_11,S17_12,S17_14,S17_1,S17_2,S17_6,S17_7,S17_9
Pauljensenia_sp000278725,511727,768700,441041,255743,1188393,1325828,2436049,722999,1293687,437986,330452,126929,558371,328778,4423862,506096,0,134330,857109,92800,0,164572,2385140,511941
Prevotella_oris,2655634,4957346,9918683,793270,4365605,551508,10301055,2609052,1287410,3644770,4395993,1095772,9264410,822202,10562659,2181981,3937168,1277445,11481339,735607,5411391,742615,7637289,2123658
Tannerella_sp003033925,1358289,8723902,865300,319623,626500,2340846,5199371,4222280,1286398,6941996,1020415,215623,136507,2744362,2284475,5845378,0,46200,586488,194578,13300,573250,1461580,3063224
Fusobacterium_polymorphum,2826176,10028489,1844352,777245,2209203,910347,6615406,2088172,1271009,4989422,3922281,470945,3325544,2405953,1617175,3473567,3529674,2403466,2909140,368641,1216571,1223077,1171748,2221493
Peptidiphaga_sp000466165,306565,0,887149,24100,0,152037,2057995,71600,1251874,850805,1417502,76600,0,962463,691714,55300,607592,11200,85700,62800,0,272656,419041,127125
Treponema_B_denticola,3399974,7221163,4831062,1551373,8221024,40500,7127618,2658360,1247824,1478984,3461170,273604,3636755,143027,1416085,4259651,1397227,534283,3180007,100272,2248747,0,508380,1843318
Peptidiphaga_gingivicola,1072005,890848,276045,239383,66500,27100,0,73000,1226563,1304649,112270,61200,0,680302,0,69800,0,2020,0,59300,0,280405,0,44000
Porphyromonas_sp000467855,510600,0,135713,303486,2203518,8323191,430771,35902810,1174321,367086,0,2629478,4322058,11139021,1997724,30400011,6341319,379218,0,2282078,7586569,9230531,1858808,30426138
Kingella_B_oralis,863053,39900,114540,0,0,40700,1352452,130016,1149922,113563,149617,1780,0,277448,946984,126316,1433339,46100,75800,10800,302044,107981,645103,115741
Arachnia_rubra,515210,334812,0,0,0,114718,40100,156531,1075103,954649,0,53600,0,169461,137486,156527,357778,148794,0,12900,0,118484,115432,94900
Prevotella_melaninogenica,0,309234,40353301,1488161,1678028,136124469,20438796,3532774,1071458,0,23227529,1663978,2881549,5045299,31785415,3821470,137892,22500,37396677,1402029,2743582,9493704,67409390,5973590
Prevotella_nigrescens,2905455,990759,38944809,916356,1341548,388430,10115901,10559014,1045742,4607911,10739504,2224244,439313,291382,6320077,8722572,4472784,396414,32619207,1135858,226585,98900,5902785,7063287
Desulfomicrobium_orale,3109490,0,0,0,0,0,0,875111,1045236,0,0,0,0,0,0,959739,2032274,0,0,0,0,0,0,383629
Fusobacterium_nucleatum,2441254,11356461,662462,347557,2825427,124434,2412595,4310663,1037845,2188295,1245068,114080,1299533,623337,628217,5497950,981324,2048323,669586,27500,2403547,362589,187238,3856572
Streptococcus_constellatus,3979713,1176905,0,0,0,84000,0,558210,1008687,1428852,0,0,0,105221,69000,456141,931114,237605,0,0,0,0,125869,544552
Prevotella_shahii,0,124341,0,0,910070,7519723,2965798,3511259,965153,0,0,36300,2430852,740955,4941576,4100388,0,183489,0,59000,1447774,1586991,10013558,7270221
Actinomyces_naeslundii,193280,2769741,0,287572,0,58700,156859,0,961812,2628020,0,289065,0,425291,260196,0,308557,353525,0,42600,0,418263,199136,8890
Treponema_C_lecithinolyticum,3604112,10322063,1362541,963766,6406896,17800,4290815,0,916455,1954620,1277534,334718,6359347,206549,927710,0,1190698,972473,694490,112937,3351343,11500,351618,0
JABCPE02_sp013333255,0,524925,1024102,1413486,2303544,1980019,1491882,945236,904002,418957,2122791,4216984,3257450,8273967,2290471,1084151,3368532,1627835,1474173,7295783,5723091,7893865,1842422,746862
Veillonella_parvula_A,976850,312053,3705259,2219332,266845,2013474,5803784,1257834,896510,1959940,6589392,1204733,369729,7951233,4539397,1423016,2571353,1116917,10576147,713418,722261,3054785,4283294,1989892
Fretibacterium_fastidiosum,2630027,4550394,5091226,597067,4797301,37900,0,755445,852367,3148263,4796599,176761,2764193,120897,0,496105,2801380,889427,2592779,64400,2119135,71900,0,256860
Prevotella_conceptionensis,1209872,3158633,1271314,172832,367745,572597,4363543,1602878,849634,1701098,2234038,704642,1072162,1957507,5681688,2139162,3025718,848865,5860815,860476,1445571,1708228,6384238,2344230
Capnocytophaga_sputigena,661169,14463938,1039644,530182,145721,189357,1620446,1620322,733508,5274354,1134047,2839146,1099932,2868948,743324,2186025,3039445,4118899,221551,2466712,3739236,1624923,710438,1419369
Corynebacterium_durum,177507,0,0,65400,0,581651,84000,181302,605131,0,0,495286,63000,5034439,353673,191496,1399948,0,0,611157,856071,13698967,635710,119536
SDRW01_sp007845485,3485911,0,6420,186632,0,42100,4262305,634383,598955,316443,0,323540,0,2004124,2885067,407493,0,0,0,277370,0,384308,538230,154638
Leptotrichia_hofstadii,1436441,297437,0,0,0,176218,1024963,272011,590552,764558,1388328,82000,0,1050062,636248,528100,0,882549,1096167,109169,0,246247,429999,320660
Prevotella_nanceiensis,0,584224,9279648,449720,891924,8323522,2203988,1078393,552991,328925,4862780,624618,1582868,1400254,4122870,962712,2186491,1423812,3547903,714674,725619,2371820,5922510,1936291
Bulleidia_extructa,1107854,688103,974997,0,171410,51300,1165899,365395,528186,707367,943336,77900,1463916,155732,789796,683200,1246226,103984,568365,71900,1549890,89600,557851,454307
