sample_id,S9_11,S9_12,S9_14,S9_1,S9_2,S9_6,S9_7,S9_9,S11_11,S11_12,S11_14,S11_1,S11_2,S11_6,S11_7,S11_9,S13_11,S13_12,S13_14,S13_1,S13_2,S13_6,S13_7,S13_9,S17_11,S17_12,S17_14,S17_1,S17_2,S17_6,S17_7,S17_9
PauljenSenia,872283,182351,111450,102626,67800,26100,932143,15500,467060,133673,296612,31200,148600,321458,640770,17600,298962,75900,127266,31500,63200,243664,420562,42500,212035,24500,166211,23600,87200,184759,341551,22300
PauljenSenia,0,49400,47900,22000,75200,130232,59100,10300,21800,41400,20900,13300,66500,12600,162466,20500,0,0,18700,19100,0,9560,41900,0,0,12000,13400,16200,51700,14800,92700,9160
PauljenSenia,0,0,0,0,0,966,0,1070,0,0,0,0,0,0,0,2370,0,0,0,0,0,2520,0,3230,0,0,3350,436,0,1280,0,2280
PauljenSenia,0,0,4440,0,586390,5700,0,56200,0,0,0,1030,577324,8830,5300,75700,0,0,0,0,380203,3300,0,78000,0,0,16000,807,379976,5660,5640,48800
PauljenSenia,41400,49400,20000,84900,26700,28500,27900,5070,22900,16700,28800,180203,39500,34000,71100,10400,17600,0,12300,217429,28000,22200,51600,14200,0,3910,40000,203556,20900,63700,41600,13400
PauljenSenia,393811,178799,107946,36700,223004,204336,192465,14300,304151,174936,126080,17300,239447,283538,449377,19900,146665,67200,51900,27500,390441,147191,216908,26100,142317,23600,153034,18700,168655,374091,227255,22200
PauljenSenia,319793,426377,143021,45500,173998,179709,137819,24500,429437,172446,232900,25200,193522,274530,289745,48500,91200,105049,171877,39900,82500,89600,209093,41900,111098,58600,230529,23300,93900,305515,172023,71000
PauljenSenia,80100,116228,212031,21800,62100,204385,78600,13800,60300,44900,213697,10300,60100,259451,139353,17300,36500,37600,162103,12700,0,93400,117384,27300,23300,8610,216980,7660,33600,310628,88000,24600
PauljenSenia,87800,131682,91600,35600,0,117322,76300,5670,67300,61100,39700,30000,0,57700,139276,9280,0,0,57100,37000,0,24200,52500,0,0,0,27300,15900,0,38600,60400,4650
PauljenSenia,49800,135755,110654,19500,32900,193366,26700,92700,55700,267254,174802,12200,78200,635070,49200,147156,48100,198270,136749,15200,28700,623562,36600,185880,56600,23200,297444,10500,29300,1406243,27700,194095
PauljenSenia,699375,623272,529962,252933,863496,514564,1295129,294720,626232,256927,833273,101284,654216,228028,2039385,262430,462919,274677,860544,171955,565931,285739,2490348,722431,110358,76500,1262796,86300,201615,167376,1105776,252319
PauljenSenia,169243,340999,329236,19200,0,446473,345696,12000,129586,155058,178624,14700,0,232281,705377,19000,65800,31800,230034,17100,0,95900,228407,6980,54500,15200,114844,9900,0,161024,274021,5910
PauljenSenia,58600,81700,193899,17300,37700,54800,37000,35600,54800,39000,208537,9350,24600,67100,76500,86400,25500,0,73000,10600,0,31500,45000,95000,0,9120,428564,8170,28000,71400,45100,94900
PauljenSenia,68200,90100,40500,49600,263560,172340,205927,16300,43600,59100,42700,29400,299990,108047,739469,22900,48700,29400,26200,45500,131296,74400,295464,26700,28800,9490,72700,35200,151188,99900,666074,39400
PauljenSenia,0,76200,172405,15600,0,556326,315094,3980,21900,19900,151283,8500,34900,39800,721804,8230,0,0,99800,13700,0,26100,199307,0,0,0,74200,7380,0,47000,442244,3410
PauljenSenia,103359,202370,68500,30500,45000,689306,43200,10800,62400,85200,64300,16000,61400,146234,128193,19600,40900,38600,36200,21600,0,97700,105379,19000,40800,19900,118439,15500,32500,207431,84800,21100
PauljenSenia,166032,179020,50500,52300,75200,338474,111262,15700,116444,100347,87600,23900,109338,474268,207384,22400,59800,35600,45400,38700,62500,141714,153644,29500,42400,19200,114758,24100,59100,525743,122666,32400
PauljenSenia,165825,392347,204551,47700,122404,581482,130411,25400,184139,146474,145011,23100,168872,335864,326712,38500,69900,59300,91100,34200,102072,150288,194498,33300,65000,33700,171559,19500,74300,382723,200511,47500
PauljenSenia,0,0,0,0,0,2780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PauljenSenia,160689,45800,40200,10100,0,62900,37300,22700,115848,42500,22800,8570,0,27600,87300,30700,46100,0,32200,8530,0,13700,21200,6780,22300,0,22300,4670,0,22600,33300,9860
PauljenSenia,0,99500,28200,42800,70100,165179,81900,9040,35600,30400,16400,25500,78400,9850,225636,18200,0,0,15100,39500,0,6690,57100,0,0,12300,12600,31000,43300,13500,136561,9780
PauljenSenia,51000,72200,135500,10300,0,55500,22700,27700,0,20800,150413,6680,0,45900,46900,75600,0,0,38600,12800,0,24800,33700,74400,0,8900,398777,7170,0,36300,35000,84100
PauljenSenia,81200,176183,45500,16400,54800,137561,46100,17400,54200,71600,39900,9880,71400,107650,102719,23600,26800,26500,19900,12700,0,44400,76100,17300,20500,19100,43800,7770,25200,125772,63300,28500
PauljenSenia,124499,264430,60300,49200,216901,1065703,62200,73800,196199,131163,54900,17800,243188,1065266,106539,110602,60000,50200,65300,28700,139750,527972,110790,118506,43400,14900,99900,19100,169480,637130,58300,203315
Peptidiphaga,780742,592486,238628,156550,219831,15600,65400,35200,672813,618505,436066,41500,147384,367627,42800,47700,635861,63100,113874,91400,169559,235251,22700,85900,293146,32100,116037,31500,64200,141645,9940,33400
Peptidiphaga,1599069,556312,1585758,292648,494732,180295,3395477,104547,1882912,1173440,2638776,130590,589969,1486468,1076752,108079,1868838,326104,578045,130616,328309,676061,553959,195798,1501686,131361,814470,97100,360703,439004,631055,214463
Varibaculum,0,0,0,0,0,36900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlloScardovia,0,0,8220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6980,0,0,0,0,0,0,0,3110,0,0,0,0,0
Bifidobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3060,0,0,0,0,0,0,0,0,0,0
Bifidobacterium,0,0,2508707,9240,0,0,166844,0,0,0,931865,3980,0,0,168312,0,0,0,611087,3140,0,0,307252,0,0,0,1811546,3910,0,0,143303,0
Bifidobacterium,0,0,1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4270,0,0,3760,0,0,0,0,2800,0,0,1380,0,0
Bifidobacterium,0,0,35900,0,0,0,0,0,0,0,13200,0,0,0,0,0,0,0,8750,0,0,0,0,0,0,0,30400,0,0,0,0,0
Bifidobacterium,0,0,0,0,0,0,0,0,229040,0,0,0,0,0,0,0,0,0,8660,0,0,0,0,0,0,0,0,0,0,0,0,0
