sample_id,depth,BrayCurtis_similarity,way
s17_6,12.5,0.975440176,2b
s17_9,12.5,0.983897858,2b
s9_1,12.5,0.98662513,2b
s9_14,12.5,0.986953839,2b
s9_6,12.5,0.990578348,2b
s9_9,12.5,0.985383508,2b
s11_1,15,0.987664935,2b
s11_14,15,0.980928732,2b
s11_6,15,0.993148007,2b
s11_9,15,0.992635641,2b
s13_1,15,0.990888002,2b
s13_14,15,0.965781693,2b
s13_6,15,0.990060543,2b
s13_9,15,0.990734463,2b
s17_1,15,0.985510259,2b
s17_14,15,0.956954536,2b
s17_6,15,0.980328352,2b
s17_9,15,0.985557979,2b
s9_1,15,0.992476455,2b
s9_14,15,0.98959876,2b
s9_6,15,0.9920834,2b
s9_9,15,0.988811718,2b
s11_1,17.5,0.990787203,2b
s11_14,17.5,0.986929655,2b
s11_6,17.5,0.995108163,2b
s11_9,17.5,0.994237168,2b
s13_1,17.5,0.992860074,2b
s13_14,17.5,0.971869778,2b
s13_6,17.5,0.993435217,2b
s13_9,17.5,0.99339458,2b
s17_1,17.5,0.988020971,2b
s17_14,17.5,0.960896033,2b
s17_6,17.5,0.984368032,2b
s17_9,17.5,0.986373048,2b
s9_1,17.5,0.996326336,2b
s9_14,17.5,0.991848327,2b
s9_6,17.5,0.993506038,2b
s9_9,17.5,0.990572184,2b
s11_1,20,0.992840434,2b
s11_14,20,0.990123388,2b
s11_6,20,0.997460371,2b
s11_9,20,0.995646545,2b
s13_1,20,0.994810428,2b
s13_14,20,0.974385285,2b
s13_6,20,0.998600239,2b
s13_9,20,0.996083316,2b
s17_1,20,0.990591214,2b
s17_14,20,0.967698922,2b
s17_6,20,0.989209235,2b
s17_9,20,0.989437177,2b
s9_14,20,0.994152463,2b
s9_6,20,0.994759656,2b
s9_9,20,0.991747558,2b
s11_1,22.5,0.994019139,2b
s11_14,22.5,0.994506309,2b
s11_9,22.5,0.996910755,2b
s13_1,22.5,0.997338676,2b
s13_14,22.5,0.978794698,2b
s13_9,22.5,0.99796902,2b
s17_1,22.5,0.992340619,2b
s17_14,22.5,0.974693648,2b
s17_6,22.5,0.992983722,2b
s17_9,22.5,0.991771815,2b
s9_14,22.5,0.996437992,2b
s9_6,22.5,0.995701551,2b
s9_9,22.5,0.993561149,2b
