sample_id,depth,BrayCurtis_similarity,way
s17_2,7.5,0.982100727,2bRAD-M
s17_6,7.5,0.96431942,2bRAD-M
s17_7,7.5,0.992490003,2bRAD-M
s17_9,7.5,0.977941746,2bRAD-M
s9_1,7.5,0.975955894,2bRAD-M
s9_11,7.5,0.990202629,2bRAD-M
s9_12,7.5,0.989259581,2bRAD-M
s9_14,7.5,0.97757821,2bRAD-M
s9_2,7.5,0.983212594,2bRAD-M
s9_6,7.5,0.984068802,2bRAD-M
s9_7,7.5,0.987839946,2bRAD-M
s9_9,7.5,0.97738094,2bRAD-M
s11_1,10,0.9818889,2bRAD-M
s11_14,10,0.964941189,2bRAD-M
s11_6,10,0.986517231,2bRAD-M
s11_9,10,0.98690092,2bRAD-M
s13_1,10,0.983045903,2bRAD-M
s13_11,10,0.968467021,2bRAD-M
s13_12,10,0.993474519,2bRAD-M
s13_14,10,0.953752786,2bRAD-M
s13_6,10,0.982887517,2bRAD-M
s13_9,10,0.985313722,2bRAD-M
s17_1,10,0.980305087,2bRAD-M
s17_11,10,0.998475444,2bRAD-M
s17_12,10,0.99629393,2bRAD-M
s17_14,10,0.946681328,2bRAD-M
s17_6,10,0.970681888,2bRAD-M
s17_9,10,0.981640925,2bRAD-M
s9_1,10,0.981969607,2bRAD-M
s9_14,10,0.983096522,2bRAD-M
s9_6,10,0.987023487,2bRAD-M
s9_9,10,0.982956086,2bRAD-M
s11_1,12.5,0.984788013,2bRAD-M
s11_14,12.5,0.97483738,2bRAD-M
s11_6,12.5,0.990423063,2bRAD-M
s11_9,12.5,0.990059004,2bRAD-M
s13_1,12.5,0.98666634,2bRAD-M
s13_11,12.5,0.989066787,2bRAD-M
s13_14,12.5,0.960037383,2bRAD-M
s13_6,12.5,0.985430083,2bRAD-M
s13_9,12.5,0.988451717,2bRAD-M
s17_1,12.5,0.98303009,2bRAD-M
s17_14,12.5,0.952711588,2bRAD-M
s17_6,12.5,0.975440176,2bRAD-M
s17_9,12.5,0.983897858,2bRAD-M
s9_1,12.5,0.98662513,2bRAD-M
s9_14,12.5,0.986953839,2bRAD-M
s9_6,12.5,0.990578348,2bRAD-M
s9_9,12.5,0.985383508,2bRAD-M
s11_1,15,0.987664935,2bRAD-M
s11_14,15,0.980928732,2bRAD-M
s11_6,15,0.993148007,2bRAD-M
s11_9,15,0.992635641,2bRAD-M
s13_1,15,0.990888002,2bRAD-M
s13_14,15,0.965781693,2bRAD-M
s13_6,15,0.990060543,2bRAD-M
s13_9,15,0.990734463,2bRAD-M
s17_1,15,0.985510259,2bRAD-M
s17_14,15,0.956954536,2bRAD-M
s17_6,15,0.980328352,2bRAD-M
s17_9,15,0.985557979,2bRAD-M
s9_1,15,0.992476455,2bRAD-M
s9_14,15,0.98959876,2bRAD-M
s9_6,15,0.9920834,2bRAD-M
s9_9,15,0.988811718,2bRAD-M
s11_1,17.5,0.990787203,2bRAD-M
