"Species","col_WMS","col_2b","Group","Color"
"Phocaeicola",1.48873754853335e-05,3.36111e-05,"s11_1","shared"
"Porphyromonas",0.0410145169127675,0.034327704,"s11_1","shared"
"Prevotella",0.0238227377417654,0.025013109,"s11_1","shared"
"Pseudoleptotrichia",0.000115554390671874,0.000134686,"s11_1","shared"
"Ralstonia",0,1.61414e-05,"s11_1","2b only"
"Rodentibacter",0,8.16125e-05,"s11_1","2b only"
"Rothia",0.0537959870522369,0.055170045,"s11_1","shared"
"Saccharimonas",0.0006646656143554,0.000457348,"s11_1","shared"
"SDRK01",0,2.45542e-05,"s11_1","2b only"
"SDRW01",0.000313647631823659,0.000462108,"s11_1","shared"
"Selenomonas",6.80565736472389e-05,5.1121e-05,"s11_1","shared"
"Shuttleworthia",5.50934167620505e-05,7.44677e-05,"s11_1","shared"
"Simonsiella",8.27413998062413e-05,0.000102744,"s11_1","shared"
"Stenotrophomonas",0,1.05965e-05,"s11_1","2b only"
"Streptococcus",0.120422765004905,0.204760613,"s11_1","shared"
"Tannerella",0.00247201325320752,0.002919193,"s11_1","shared"
"TM7x",0,0.000541197,"s11_1","2b only"
"Treponema",0.000817792905061688,0.000421773,"s11_1","shared"
"Treponema_B",0.000381096557491905,0.000499634,"s11_1","shared"
"Treponema_C",0.000370158893870027,0.000304358,"s11_1","shared"
"Treponema_D",0.000457964026834545,0.000130339,"s11_1","shared"
"UBA1103",0,0.000257103,"s11_1","2b only"
"UBA2866",0,7.21733e-05,"s11_1","2b only"
"UMGS1907",0,0.000864567,"s11_1","2b only"
"Veillonella",0.00254594375731836,0.003326565,"s11_1","shared"
"W11650",0.000552352012904823,0.000282467,"s11_1","shared"
"Abiotrophia",0,0.000393202,"s11_11","2b only"
"Acinetobacter",0,0.000167088,"s11_11","2b only"
"Actinomyces",0.00717389856522029,0.011386754,"s11_11","shared"
"Aggregatibacter",0.0301616939676612,0.017218835,"s11_11","shared"
"Alcaligenes",0,3.5626e-05,"s11_11","2b only"
"Allisonella",1.54999969000006e-05,0.000442139,"s11_11","shared"
"Alloprevotella",0.00849589830082034,0.005952819,"s11_11","shared"
"Anaeroglobus",0.000144899971020006,0.000626744,"s11_11","shared"
"Arachnia",0.00116659976668005,0.002562205,"s11_11","shared"
"Bacteroides_D",0.00191759961648008,0,"s11_11","WMS only"
"Basfia",0,0.000332403,"s11_11","2b only"
"Bergeyella_A",0.000733899853220029,0.000226327,"s11_11","shared"
"Bifidobacterium",0,0.000229044,"s11_11","2b only"
"Bulleidia",0.000537299892540022,0.000895267,"s11_11","shared"
"CAG-485",0,1.05211e-05,"s11_11","2b only"
"CAJPSE01",0.000933899813220037,0,"s11_11","WMS only"
"Campylobacter_A",0.00264549947090011,0.001753884,"s11_11","shared"
"Campylobacter_B",0.000280599943880011,0.000200425,"s11_11","shared"
"Capnocytophaga",0.00293269941346012,0.004559361,"s11_11","shared"
"Cardiobacterium",0.0025712994857401,0.002788417,"s11_11","shared"
"Catonella",7.34999853000029e-05,0.000190207,"s11_11","shared"
"Centipeda",0,0.00074041,"s11_11","2b only"
"Corynebacterium",0.00836849832630034,0.007989532,"s11_11","shared"
"Cryptobacterium",0,1.12503e-05,"s11_11","2b only"
"Cryptobacteroides",0.000379499924100015,0,"s11_11","WMS only"
"Cutibacterium",0,0.000789141,"s11_11","2b only"
"Desulfobulbus",0,0.000361674,"s11_11","2b only"
"Desulfomicrobium",0.00103239979352004,0.001357443,"s11_11","shared"
"Dialister",0.00174879965024007,0.00208492,"s11_11","shared"
"Eikenella",0.000135099972980005,0.001065829,"s11_11","shared"
"Eubacterium_A",0,0.005515075,"s11_11","2b only"
"Eubacterium_B",0.000189699962060008,0.000684712,"s11_11","shared"
"Eubacterium_M",0.00597799880440024,0.004515252,"s11_11","shared"
"F0040",0,0.000473432,"s11_11","2b only"
"F0058",0.00555779888844022,0.004094047,"s11_11","shared"
"F0422",0.000127799974440005,0.000353303,"s11_11","shared"
"Filifactor",0.00547899890420022,0.003278745,"s11_11","shared"
"Flexilinea",0,0.000108561,"s11_11","2b only"
"Fretibacterium",0.000841899831620034,0.001058198,"s11_11","shared"
"Fusobacterium",0.0279421944115611,0.011040187,"s11_11","shared"
"Gemella",0.0137693972461206,0.010183342,"s11_11","shared"
"Granulicatella",0.00719369856126029,0.006439661,"s11_11","shared"
"Haemophilus",0,0.00307203,"s11_11","2b only"
"Haemophilus_A",0.0424998915000217,0.035147392,"s11_11","shared"
"Haemophilus_D",0.117893876421225,0.102652097,"s11_11","shared"
"Hornefia",0.00636509872698026,0,"s11_11","WMS only"
"HOT-345",0,0.000173629,"s11_11","2b only"
"Hydrogenophilus",0,1.40629e-05,"s11_11","2b only"
"JABCPE02",0.000892899821420036,0.000853295,"s11_11","shared"
"JABCPG02",0,5.73975e-05,"s11_11","2b only"
"JABZIP01",7.4499985100003e-05,0,"s11_11","WMS only"
"Janibacter",0,1.17712e-05,"s11_11","2b only"
"Johnsonella",0.00129109974178005,0.000371191,"s11_11","shared"
"Kingella",0,0.000116261,"s11_11","2b only"
"Kingella_A",0.00157699968460006,0.001062877,"s11_11","shared"
"Kingella_B",0.00113579977284005,0.00071822,"s11_11","shared"
"Klebsiella",0,2.79175e-05,"s11_11","2b only"
"Kocuria",0,1.76047e-05,"s11_11","2b only"
"Lachnoanaerobaculum",0,0.000514413,"s11_11","2b only"
"Lancefieldella",0.000312099937580013,0.000582802,"s11_11","shared"
"Lautropia",0.050834089833182,0.034169794,"s11_11","shared"
"Lawsonella",0,0.00010417,"s11_11","2b only"
"Leptotrichia",0.00433199913360017,0.005959527,"s11_11","shared"
"Leptotrichia_A",0.000420599915880017,0.001019045,"s11_11","shared"
"Mesocricetibacter",0.000139699972060006,0,"s11_11","WMS only"
"Metamycoplasma",0.00412969917406017,0,"s11_11","WMS only"
