"Species","col_mpa","col_2bp","Group"
"Abiotrophia_defectiva",0.000240487,0.000332869,"s11_1"
"Abiotrophia_sp001815865",0.001577687,0.000603111,"s11_1"
"Actinomyces_dentalis",5.22e-06,2.02208e-05,"s11_1"
"Actinomyces_graevenitzii",7.32e-05,8.67606e-05,"s11_1"
"Actinomyces_johnsonii",1.02e-05,7.31074e-05,"s11_1"
"Actinomyces_naeslundii",0.000289065,0.000307969,"s11_1"
"Actinomyces_oris",0.000793335,0.00062588,"s11_1"
"Actinomyces_timonensis",7.27e-05,0.000123807,"s11_1"
"Aggregatibacter_kilianii",0.000144794,0.000148459,"s11_1"
"Aggregatibacter_segnis",0.004821023,0.003335197,"s11_1"
"Aggregatibacter_sp000466335",0.006150909,0.002357848,"s11_1"
"Allisonella_pneumosintes",0.00028123,0.000367619,"s11_1"
"Alloprevotella_rava",9.93e-05,0.000110574,"s11_1"
"Alloprevotella_tannerae",0.001542376,0.001279197,"s11_1"
"Anaeroglobus_geminatus",7.69e-05,6.34874e-05,"s11_1"
"Anaeroglobus_micronuciformis",6.27e-06,2.85293e-05,"s11_1"
"Arachnia_sp013333945",0.000475228,0.000308145,"s11_1"
"Bergeyella_A_cardium",8.82e-05,0.000136666,"s11_1"
"Bulleidia_extructa",7.79e-05,7.69928e-05,"s11_1"
"Campylobacter_A_rectus",0.002740424,0.001950829,"s11_1"
"Campylobacter_A_showae_A",3.97e-05,0.000106783,"s11_1"
"Campylobacter_B_gracilis",9.04e-05,2.86042e-05,"s11_1"
"Capnocytophaga_gingivalis",0.001076237,0.000957998,"s11_1"
"Capnocytophaga_granulosa",0.000205908,0.000318357,"s11_1"
"Capnocytophaga_leadbetteri",0.002588422,0.002260974,"s11_1"
"Capnocytophaga_ochracea",0.000675913,0.000944425,"s11_1"
"Capnocytophaga_sp000466425",0.002346785,0.001449872,"s11_1"
"Capnocytophaga_sp002999135",8.79e-05,0.000193251,"s11_1"
"Capnocytophaga_sputigena",0.002839146,0.002857895,"s11_1"
"Cardiobacterium_hominis",0.000975947,0.000892672,"s11_1"
"Cardiobacterium_valvarum",9.8e-05,9.018e-05,"s11_1"
"Catonella_morbi",0.000112722,7.50513e-05,"s11_1"
"Corynebacterium_argentoratense",6.99e-05,0.000100483,"s11_1"
"Corynebacterium_durum",0.000495286,0.000421398,"s11_1"
"Corynebacterium_matruchotii",0.000942412,0.000817122,"s11_1"
"Cutibacterium_acnes",2.13e-05,7.41313e-05,"s11_1"
"Desulfobulbus_oralis",3.71e-05,5.31771e-05,"s11_1"
"Dialister_invisus",0.000325316,0.000460026,"s11_1"
"Eikenella_corrodens",0.000110423,0.001727834,"s11_1"
"Eikenella_halliae",0.000154091,0.000150555,"s11_1"
"Eubacterium_B_infirmum",0.000134242,0.000164954,"s11_1"
"Eubacterium_B_sulci",1.43e-05,3.16823e-05,"s11_1"
"Eubacterium_M_brachy",0.0014541,0.001198978,"s11_1"
"Eubacterium_N_saphenum",0.007704777,0.006134766,"s11_1"
"F0058_sp000163695",0.001117606,0.000712616,"s11_1"
"F0422_sp001553345",0.000714984,0.000799079,"s11_1"
"F0422_sp003992055",6.74e-05,5.79868e-05,"s11_1"
"Filifactor_alocis",0.004146677,0.002959351,"s11_1"
"Fretibacterium_fastidiosum",0.000176761,0.000168337,"s11_1"
"Fusobacterium_animalis",0.000800439,0.001284497,"s11_1"
"Fusobacterium_nucleatum_J",0.006375726,0.003564256,"s11_1"
"Fusobacterium_pseudoperiodonticum",0.001343259,0.001177843,"s11_1"
"Fusobacterium_vincentii",0.002307192,0.001580212,"s11_1"
"Gemella_haemolysans_A",0.001723734,0.000704595,"s11_1"
"Gemella_haemolysans_B",0.016627346,0.009905814,"s11_1"
"Gemella_morbillorum",0.000803364,0.000627355,"s11_1"
"Gemella_sanguinis",0.000154614,0.000150804,"s11_1"
"GN02-873_sp003260345",0.004219074,0.002511458,"s11_1"
"Granulicatella_adiacens",0.004520257,0.003624667,"s11_1"
"Granulicatella_elegans",0.008652309,0.003366059,"s11_1"
"Granulicatella_sp001058355",0.001501738,0.000828897,"s11_1"
"Haemophilus_A_parahaemolyticus",0.013557533,0.013009125,"s11_1"
"Haemophilus_A_sputorum",0.001471546,0.001291397,"s11_1"
"Haemophilus_D_parainfluenzae",0.040951217,0.015018407,"s11_1"
"Haemophilus_influenzae",0.007620158,0.000132736,"s11_1"
"HOT-345_sp003260355",0.000200162,0.000201346,"s11_1"
"HOT-345_sp013333295",0.000551699,0.000271666,"s11_1"
"HOT-345_sp013333605",0.002136385,0.001283425,"s11_1"
"JABCPE02_sp013333255",0.004216984,0.00180829,"s11_1"
"Johnsonella_sp900766185",4.69e-05,3.88811e-05,"s11_1"
"Kingella_A_denitrificans",0.001983861,0.001267462,"s11_1"
"Kingella_B_oralis",1.78e-06,5.14486e-05,"s11_1"
"Kingella_kingae",0.000327405,0.000291602,"s11_1"
"Lachnoanaerobaculum_sp000209465",4.68e-05,0.000101467,"s11_1"
"Lancefieldella_rimae",6.18e-05,5.82462e-05,"s11_1"
"Lautropia_dentalis",0.000237144,0.000344854,"s11_1"
"Lautropia_mirabilis",0.008399808,0.004553412,"s11_1"
"Leptotrichia_A_sp000469505",0.000346209,0.000173789,"s11_1"
"Leptotrichia_A_sp001274535",0.000377968,0.000187724,"s11_1"
"Leptotrichia_buccalis",0.000799081,0.000656573,"s11_1"
"Leptotrichia_hofstadii",8.2e-05,0.000158115,"s11_1"
"Leptotrichia_massiliensis",0.000428008,0.000375918,"s11_1"
"Leptotrichia_sp002240055",7.44e-05,0.000113546,"s11_1"
"Leptotrichia_sp013394795",1.92e-05,9.51991e-05,"s11_1"
"Leptotrichia_trevisanii",2.91e-05,0.000218125,"s11_1"
"Leptotrichia_wadei_A",0.000163285,0.000145999,"s11_1"
"Mogibacterium_timidum",0.000217295,0.000286472,"s11_1"
"Neisseria_cinerea",0.016619616,0.013927011,"s11_1"
"Neisseria_elongata",0.021393836,0.021822789,"s11_1"
"Neisseria_mucosa",0.353166964,0.019504516,"s11_1"
"Neisseria_sicca_B",0.014910925,0.005441265,"s11_1"
"Neisseria_sp000090875",0.006965765,0.004420512,"s11_1"
"Neisseria_sp002237445",0.000350597,0.000320809,"s11_1"
"Neisseria_subflava_C",0.133084168,0.017406718,"s11_1"
"Oribacterium_asaccharolyticum",8.15e-06,3.63912e-05,"s11_1"
"Oribacterium_sinus",4.21e-05,6.60747e-05,"s11_1"
"Ottowia_sp001262075",0.000559534,0.000447793,"s11_1"
"Parvimonas_micra",0.000337016,0.000519363,"s11_1"
"Pauljensenia_odontolytica",0.000158061,0.000186328,"s11_1"
"Pauljensenia_sp000278725",0.000126929,0.000114632,"s11_1"
"Pauljensenia_sp000308055",1.74e-05,1.72955e-05,"s11_1"
"Peptidiphaga_gingivicola",6.12e-05,4.71364e-05,"s11_1"
"Peptidiphaga_sp000466165",7.66e-05,0.000163342,"s11_1"
"Peptoanaerobacter_stomatis",3.36e-05,0.000198497,"s11_1"
"Peptostreptococcus_stomatis",0.000392593,0.000346374,"s11_1"
"Phocaeicola_abscessus",1.54e-05,2.84867e-05,"s11_1"
"Porphyromonas_catoniae",0.000606545,0.000503921,"s11_1"
"Porphyromonas_endodontalis",0.006253289,0.003548477,"s11_1"
"Porphyromonas_gingivalis",0.006295912,0.007609972,"s11_1"
"Porphyromonas_pasteri",0.018438312,0.014068747,"s11_1"
"Porphyromonas_sp000467855",0.002629478,0.001471147,"s11_1"
"Porphyromonas_sp003640335",0.005063808,0.003148473,"s11_1"
"Prevotella_aurantiaca",0.000265559,0.000193077,"s11_1"
"Prevotella_baroniae",0.000161613,0.00017987,"s11_1"
"Prevotella_buccae",4.19e-05,0.000105731,"s11_1"
"Prevotella_conceptionensis",0.000704642,0.000504542,"s11_1"
"Prevotella_denticola",6.89e-05,0.000170744,"s11_1"
"Prevotella_fusca",0.000263157,0.000271971,"s11_1"
"Prevotella_histicola",1.62e-05,6.88243e-05,"s11_1"
"Prevotella_intermedia",0.010269589,0.011056731,"s11_1"
"Prevotella_jejuni",9.04e-05,0.000162926,"s11_1"
"Prevotella_koreensis",0.001105592,0.000876644,"s11_1"
"Prevotella_loescheii",0.000468856,0.000402413,"s11_1"
"Prevotella_maculosa",1.58e-05,5.5272e-05,"s11_1"
"Prevotella_melaninogenica",0.001663978,0.001102197,"s11_1"
"Prevotella_micans",9.42e-05,9.80953e-05,"s11_1"
"Prevotella_multiformis",7.9e-05,8.0979e-05,"s11_1"
"Prevotella_nanceiensis",0.000624618,0.000414028,"s11_1"
"Prevotella_nigrescens",0.002224244,0.002349316,"s11_1"
"Prevotella_oralis",2.44e-05,5.53705e-05,"s11_1"
"Prevotella_oris",0.001095772,0.001081564,"s11_1"
"Prevotella_oulorum",5.18e-05,7.04197e-05,"s11_1"
"Prevotella_pallens",0.000192431,0.000217187,"s11_1"
"Prevotella_pleuritidis",0.0009281,0.000993336,"s11_1"
"Prevotella_salivae",4.87e-05,8.38462e-05,"s11_1"
"Prevotella_seregens",9.57e-05,0.000141081,"s11_1"
"Prevotella_shahii",3.63e-05,7.5e-05,"s11_1"
"Prevotella_sp000163055",2.95e-05,8.65111e-05,"s11_1"
"Prevotella_sp000257925",0.000199222,0.000134737,"s11_1"
"Prevotella_sp000467895",0.00041286,0.000270347,"s11_1"
"Prevotella_sp003043925",5.95e-06,9.17107e-05,"s11_1"
"Prevotella_sp013333285",7.31e-06,5.08856e-05,"s11_1"
"Prevotella_sp013333935",0.000121915,0.000117422,"s11_1"
"Prevotella_veroralis",2.26e-05,0.000116411,"s11_1"
"Pseudoleptotrichia_goodfellowii",6.55e-05,0.000150405,"s11_1"
"Rothia_aeria",0.02194376,0.021658887,"s11_1"
"Rothia_dentocariosa",0.000413487,0.0012952,"s11_1"
"Rothia_mucilaginosa",0.033135389,0.01450492,"s11_1"
"SDRW01_sp007845485",0.00032354,0.000427027,"s11_1"
"Selenomonas_sputigena",7.02e-05,7.53034e-05,"s11_1"
"Shuttleworthia_satelles",5.68e-05,5.47108e-05,"s11_1"
"Simonsiella_muelleri",8.54e-05,9.88418e-05,"s11_1"
"Streptococcus_cristatus",0.001544361,0.001097759,"s11_1"
"Streptococcus_gordonii",0.000207057,0.000343404,"s11_1"
"Streptococcus_infantis",0.001548331,0.000277209,"s11_1"
"Streptococcus_intermedius",3.33e-05,0.000125812,"s11_1"
"Streptococcus_oralis_S",0.006879056,0.000117245,"s11_1"
"Streptococcus_parasanguinis_B",5.06e-05,0.000158824,"s11_1"
"Streptococcus_salivarius",0.000511583,0.000400998,"s11_1"
"Streptococcus_sanguinis",0.003679388,0.00178431,"s11_1"
"Streptococcus_sinensis",5.07e-05,9.51039e-05,"s11_1"
"Streptococcus_timonensis",0.00095568,0.000669912,"s11_1"
"Tannerella_forsythia",0.00226039,0.002465878,"s11_1"
"Tannerella_sp002890585",7.4e-05,9.63243e-05,"s11_1"
"Tannerella_sp003033925",0.000215623,0.000219684,"s11_1"
"Treponema_B_denticola",0.000273604,0.000389087,"s11_1"
"Treponema_C_lecithinolyticum",0.000334718,0.000304451,"s11_1"
"Treponema_C_maltophilum",4.71e-05,3.46044e-05,"s11_1"
"Treponema_D_buccale",1.34e-05,3.8878e-05,"s11_1"
"Treponema_sp010365865",3.96e-05,0.000174571,"s11_1"
"Veillonella_atypica",0.000162135,0.000189771,"s11_1"
"Veillonella_denticariosi",1.37e-05,4.68939e-05,"s11_1"
"Veillonella_parvula_A",0.001204733,0.001536253,"s11_1"
"Veillonella_rogosae",0.00068521,0.000422607,"s11_1"
"Veillonella_tobetsuensis",0.000127765,0.000194959,"s11_1"
"W11650_sp002999035",0.000569772,0.000326036,"s11_1"
"Actinomyces_dentalis",0.000302313,0.000406102,"s11_11"
"Actinomyces_graevenitzii",0.000430689,0.000862189,"s11_11"
"Actinomyces_massiliensis",0.000511178,0.001089129,"s11_11"
"Actinomyces_naeslundii",0.000961812,0.001488166,"s11_11"
"Actinomyces_oris",0.005057104,0.004142623,"s11_11"
"Aggregatibacter_sp000466335",0.030536706,0.012113777,"s11_11"
"Alloprevotella_rava",0.000107419,0.000130935,"s11_11"
"Alloprevotella_tannerae",0.008385579,0.006457183,"s11_11"
"Anaeroglobus_micronuciformis",0.000146702,0.000427414,"s11_11"
"Arachnia_propionica",0.000106002,0.00056553,"s11_11"
"Bulleidia_extructa",0.000528186,0.000630993,"s11_11"
"Campylobacter_A_rectus",0.002593044,0.002007061,"s11_11"
"Campylobacter_B_gracilis",0.000284089,0.000230952,"s11_11"
"Capnocytophaga_gingivalis",0.000488499,0.00085889,"s11_11"
"Capnocytophaga_leadbetteri",4.25e-05,0.000321553,"s11_11"
"Capnocytophaga_ochracea",0.001704634,0.002317513,"s11_11"
"Capnocytophaga_sputigena",0.000733508,0.000822569,"s11_11"
"Cardiobacterium_hominis",0.002440976,0.002859064,"s11_11"
"Cardiobacterium_valvarum",0.000162293,0.000358978,"s11_11"
"Catonella_morbi",7.44e-05,0.000294307,"s11_11"
"Corynebacterium_durum",0.000605131,0.00075029,"s11_11"
"Corynebacterium_matruchotii",0.007867416,0.006659659,"s11_11"
"Desulfomicrobium_orale",0.001045236,0.001544149,"s11_11"
"Dialister_invisus",0.001770543,0.001895276,"s11_11"
"Eikenella_halliae",0.00013678,0.000161366,"s11_11"
"Eubacterium_B_infirmum",0.000192059,0.000515077,"s11_11"
"Eubacterium_M_brachy",0.006052326,0.005546164,"s11_11"
"F0058_sp000163695",0.005626901,0.003265051,"s11_11"
"Filifactor_alocis",0.005547121,0.003664807,"s11_11"
"Fretibacterium_fastidiosum",0.000852367,0.001009875,"s11_11"
"Fusobacterium_nucleatum_J",0.014608803,0.008211284,"s11_11"
"Fusobacterium_vincentii",0.004926702,0.008945426,"s11_11"
"Gemella_haemolysans_B",0.004531145,0.003360111,"s11_11"
"Gemella_morbillorum",0.002142106,0.002013761,"s11_11"
"Gemella_sanguinis",0.007058178,0.005863496,"s11_11"
"Granulicatella_adiacens",0.003229864,0.003486566,"s11_11"
"Granulicatella_sp001058355",0.004053276,0.002230774,"s11_11"
"Haemophilus_A_parahaemolyticus",0.036608167,0.03453236,"s11_11"
"Haemophilus_A_sputorum",0.006420143,0.005725026,"s11_11"
"Haemophilus_D_parainfluenzae",0.119359697,0.032370736,"s11_11"
"JABCPE02_sp013333255",0.000904002,0.000691531,"s11_11"
"Kingella_A_denitrificans",0.001596607,0.001417397,"s11_11"
"Kingella_B_oralis",0.001149922,0.000762161,"s11_11"
"Lancefieldella_rimae",0.00031598,0.000393599,"s11_11"
"Lautropia_dentalis",0.030069468,0.023163796,"s11_11"
"Lautropia_mirabilis",0.021396662,0.012176337,"s11_11"
"Leptotrichia_buccalis",0.001321833,0.001553679,"s11_11"
"Leptotrichia_hofstadii",0.000590552,0.002078201,"s11_11"
"Leptotrichia_hongkongensis",0.001972524,0.002299391,"s11_11"
"Leptotrichia_trevisanii",0.000230329,0.00129128,"s11_11"
"Mogibacterium_timidum",0.003530759,0.003889391,"s11_11"
"Neisseria_elongata",0.003924495,0.005322027,"s11_11"
"Neisseria_sicca_B",0.071380387,0.00882539,"s11_11"
"Neisseria_sp000090875",0.039068379,0.022151956,"s11_11"
"Neisseria_sp002237445",5.92e-05,0.00029223,"s11_11"
"Neisseria_subflava_C",0.161383571,0.020828992,"s11_11"
"Ottowia_sp001262075",7.53e-05,0.000346318,"s11_11"
"Parvimonas_micra",0.004750741,0.003909333,"s11_11"
"Pauljensenia_hongkongensis",0.000161686,0.000543854,"s11_11"
"Pauljensenia_sp000278725",0.001293687,0.000546042,"s11_11"
"Pauljensenia_sp000308055",0.000112279,0.000185672,"s11_11"
"Pauljensenia_sp000411415",0.000110051,0.000111023,"s11_11"
"Peptidiphaga_gingivicola",0.001226563,0.000803164,"s11_11"
"Peptidiphaga_sp000466165",0.001251874,0.001955626,"s11_11"
"Peptoanaerobacter_stomatis",0.000307476,0.000834846,"s11_11"
"Porphyromonas_catoniae",0.000130806,0.000262172,"s11_11"
"Porphyromonas_endodontalis",0.018665421,0.010476465,"s11_11"
"Porphyromonas_pasteri",0.006507617,0.005454058,"s11_11"
"Porphyromonas_sp000467855",0.001174321,0.000571064,"s11_11"
"Prevotella_baroniae",0.00037703,0.000475,"s11_11"
"Prevotella_conceptionensis",0.000849634,0.00106288,"s11_11"
"Prevotella_intermedia",0.007669991,0.009016547,"s11_11"
"Prevotella_koreensis",0.000189932,0.000300666,"s11_11"
"Prevotella_loescheii",0.000393837,0.000586613,"s11_11"
"Prevotella_melaninogenica",0.001071458,0.001155127,"s11_11"
"Prevotella_nanceiensis",0.000552991,0.000535619,"s11_11"
"Prevotella_nigrescens",0.001045742,0.001486677,"s11_11"
"Prevotella_oris",0.00128741,0.001600493,"s11_11"
"Prevotella_oulorum",5.64e-05,0.000459333,"s11_11"
"Prevotella_pleuritidis",0.004818575,0.004665809,"s11_11"
"Prevotella_seregens",0.000427854,0.000683993,"s11_11"
"Prevotella_shahii",0.000965153,0.000865093,"s11_11"
"Prevotella_veroralis",0.000117746,0.000851194,"s11_11"
"Pseudoleptotrichia_goodfellowii",0.000112988,0.00087696,"s11_11"
"Rothia_aeria",0.074473876,0.073523458,"s11_11"
"Rothia_dentocariosa",0.008913664,0.012727172,"s11_11"
"Rothia_mucilaginosa",0.082428058,0.029850075,"s11_11"
"SDRW01_sp007845485",0.000598955,0.001003697,"s11_11"
"Streptococcus_constellatus",0.001008687,0.002901269,"s11_11"
"Streptococcus_cristatus",0.004136701,0.004437396,"s11_11"
"Streptococcus_infantis",0.023606196,0.003048128,"s11_11"
"Streptococcus_pneumoniae",0.000170797,0.004420158,"s11_11"
"Streptococcus_sanguinis",0.031379557,0.022741339,"s11_11"
"Tannerella_forsythia",0.003335157,0.004425676,"s11_11"
"Tannerella_sp002890585",0.000330964,0.000495825,"s11_11"
"Tannerella_sp003033925",0.001286398,0.001154784,"s11_11"
"Treponema_B_denticola",0.001247824,0.001824347,"s11_11"
"Treponema_C_lecithinolyticum",0.000916455,0.00098653,"s11_11"
"Veillonella_atypica",0.000149638,0.000715212,"s11_11"
"Veillonella_parvula_A",0.00089651,0.00175114,"s11_11"
"Veillonella_rogosae",0.013195852,0.007871014,"s11_11"
"W11650_sp002999035",2.78e-05,0.000161881,"s11_11"
"Abiotrophia_defectiva",0.000511854,0.000604356,"s11_12"
"Abiotrophia_sp001815865",0.000392049,0.000410045,"s11_12"
"Actinomyces_dentalis",1.29e-05,0.000185375,"s11_12"
"Actinomyces_gerencseriae",0.000252397,0.000403259,"s11_12"
"Actinomyces_johnsonii",8.76e-05,0.000427268,"s11_12"
"Actinomyces_massiliensis",0.000103639,0.000379294,"s11_12"
"Actinomyces_naeslundii",0.00262802,0.003990738,"s11_12"
"Actinomyces_oris",0.00061846,0.001072554,"s11_12"
"Aggregatibacter_kilianii",0.001831951,0.000484841,"s11_12"
"Aggregatibacter_segnis",0.007649465,0.011793972,"s11_12"
"Aggregatibacter_sp000466335",0.05267898,0.021559938,"s11_12"
"Alloprevotella_rava",0.000160523,0.000310325,"s11_12"
"Alloprevotella_tannerae",0.00478378,0.004556011,"s11_12"
"Anaeroglobus_geminatus",0.000391231,0.000484802,"s11_12"
"Arachnia_propionica",0.003263157,0.003961292,"s11_12"
"Arachnia_sp013333945",0.000714733,0.000957889,"s11_12"
"Bergeyella_A_cardium",0.000554107,0.000714228,"s11_12"
"Bulleidia_extructa",0.000707367,0.000748301,"s11_12"
"Campylobacter_A_rectus",0.007470219,0.004923117,"s11_12"
"Campylobacter_A_showae_A",0.000311634,0.000543886,"s11_12"
"Campylobacter_B_gracilis",0.002149826,0.0004097,"s11_12"
"Capnocytophaga_gingivalis",0.002701478,0.002893652,"s11_12"
"Capnocytophaga_granulosa",0.005721241,0.005627093,"s11_12"
"Capnocytophaga_leadbetteri",0.003122584,0.002630403,"s11_12"
"Capnocytophaga_ochracea",0.004856113,0.005950107,"s11_12"
"Capnocytophaga_sp000192225",0.000413432,0.000669741,"s11_12"
"Capnocytophaga_sp000466425",0.000740413,0.000661677,"s11_12"
"Capnocytophaga_sputigena",0.005274354,0.004394065,"s11_12"
"Cardiobacterium_hominis",0.012386183,0.011967322,"s11_12"
"Cardiobacterium_valvarum",0.002013448,0.001567678,"s11_12"
"Catonella_morbi",0.000778574,0.000641357,"s11_12"
"Centipeda_artemidis",8.87e-05,0.000530309,"s11_12"
"Centipeda_noxia",0.003516372,0.004272616,"s11_12"
"Centipeda_periodontii",8.24e-05,0.000306512,"s11_12"
"Centipeda_sp001683335",0.000538761,0.000645749,"s11_12"
"Corynebacterium_matruchotii",0.002948044,0.00261612,"s11_12"
"Cutibacterium_acnes",0.001031994,0.001406058,"s11_12"
"Desulfobulbus_oralis",0.000379465,0.000488689,"s11_12"
"Dialister_invisus",0.005409504,0.005812441,"s11_12"
"Eikenella_corrodens",0.000510012,0.001983832,"s11_12"
"Eikenella_halliae",0.000989434,0.000711026,"s11_12"
"Eubacterium_B_infirmum",0.004594201,0.004653925,"s11_12"
"Eubacterium_M_brachy",0.004308554,0.003638408,"s11_12"
"Eubacterium_N_saphenum",0.004275098,0.003359915,"s11_12"
"F0058_sp000163695",0.010404247,0.007963155,"s11_12"
"Filifactor_alocis",0.008763921,0.007493867,"s11_12"
"Flexilinea_sp001717545",0.000147837,0.000331602,"s11_12"
"Fretibacterium_fastidiosum",0.003148263,0.003117187,"s11_12"
"Fusobacterium_animalis",0.003933181,0.007157877,"s11_12"
"Fusobacterium_pseudoperiodonticum",0.004885987,0.007272935,"s11_12"
"Fusobacterium_vincentii",0.00813922,0.010811997,"s11_12"
"Gemella_morbillorum",0.00099813,0.00116398,"s11_12"
"Gemella_sanguinis",0.000613549,0.001016912,"s11_12"
"Gordonia_jacobaea",3.33e-05,2.41224e-05,"s11_12"
"Granulicatella_adiacens",0.000780006,0.000929944,"s11_12"
"Granulicatella_sp001058355",0.001490852,0.001364501,"s11_12"
"Haemophilus_A_sputorum",0.006644787,0.008579951,"s11_12"
"Haemophilus_D_parainfluenzae",0.149329086,0.030128963,"s11_12"
"HOT-345_sp003260355",0.001232521,0.00073304,"s11_12"
"Johnsonella_ignava",0.000900322,0.001339049,"s11_12"
"Johnsonella_sp900766185",0.001736497,0.001228155,"s11_12"
"Kingella_B_oralis",0.000113563,0.000216528,"s11_12"
"Lachnoanaerobaculum_sp000209465",0.000473385,0.000617915,"s11_12"
"Lancefieldella_parvula",0.000583777,0.000383534,"s11_12"
"Lancefieldella_rimae",0.001923211,0.001269191,"s11_12"
"Lautropia_dentalis",0.0388797,0.034513665,"s11_12"
"Lautropia_mirabilis",0.062401745,0.037637406,"s11_12"
"Lawsonella_clevelandensis_A",4.77e-05,0.000213552,"s11_12"
"Leptotrichia_A_sp000469505",0.000422026,0.000783273,"s11_12"
"Leptotrichia_A_sp001274535",0.002541569,0.001441802,"s11_12"
"Leptotrichia_hofstadii",0.000764558,0.000986543,"s11_12"
"Leptotrichia_massiliensis",0.000668285,0.000876836,"s11_12"
"Metamycoplasma_salivarium",0.002603978,0.00146211,"s11_12"
"Mogibacterium_timidum",0.004481661,0.004866951,"s11_12"
"Neisseria_elongata",0.00890388,0.010273843,"s11_12"
"Neisseria_sicca_B",0.015272535,0.00315647,"s11_12"
"Neisseria_sp000090875",0.05451042,0.036578677,"s11_12"
"Neisseria_subflava_C",0.080918816,0.012531106,"s11_12"
"Olsenella_uli",0.000609457,0.001053779,"s11_12"
"Oribacterium_sp000160135",0.000668387,0.000733379,"s11_12"
"Ottowia_sp001262075",0.014242382,0.012447326,"s11_12"
"Parvimonas_micra",0.004979396,0.005749361,"s11_12"
"Pauljensenia_cardiffensis",0.000298232,0.000397675,"s11_12"
"Pauljensenia_georgiae",7.13e-05,0.000245313,"s11_12"
"Pauljensenia_sp000185285",9.69e-05,0.000332264,"s11_12"
"Pauljensenia_sp000278725",0.000437986,0.000257992,"s11_12"
"Peptidiphaga_gingivicola",0.001304649,0.000720495,"s11_12"
"Peptidiphaga_sp000466165",0.000850805,0.001319517,"s11_12"
"Peptoanaerobacter_stomatis",0.000160728,0.000751011,"s11_12"
"Peptoanaerobacter_yurii",0.000846405,0.000379607,"s11_12"
"Peptostreptococcus_stomatis",0.002775857,0.001989386,"s11_12"
"Porphyromonas_catoniae",0.00154569,0.001828089,"s11_12"
"Porphyromonas_endodontalis",0.009063278,0.006086356,"s11_12"
"Porphyromonas_pasteri",0.0056574,0.005067951,"s11_12"
"Porphyromonas_sp000467855",0.000367086,0.000301459,"s11_12"
"Prevotella_baroniae",0.000257615,0.000420571,"s11_12"
"Prevotella_buccae",0.000172084,0.000550959,"s11_12"
"Prevotella_conceptionensis",0.001701098,0.001628879,"s11_12"
"Prevotella_enoeca",0.001850981,0.001874805,"s11_12"
"Prevotella_intermedia",0.012021144,0.016462016,"s11_12"
"Prevotella_koreensis",0.004758715,0.003801636,"s11_12"
"Prevotella_loescheii",0.002783428,0.002151952,"s11_12"
"Prevotella_maculosa",0.000243599,0.000419531,"s11_12"
"Prevotella_marshii",0.000502646,0.000572125,"s11_12"
"Prevotella_micans",0.001829496,0.001616228,"s11_12"
"Prevotella_nanceiensis",0.000328925,0.000316697,"s11_12"
"Prevotella_nigrescens",0.004607911,0.005022948,"s11_12"
"Prevotella_oralis",1.07e-05,0.000156643,"s11_12"
"Prevotella_oris",0.00364477,0.003916505,"s11_12"
"Prevotella_oulorum",8.46e-05,0.000321912,"s11_12"
"Prevotella_pleuritidis",0.012838288,0.013985193,"s11_12"
"Prevotella_saccharolytica",0.000440339,0.000461357,"s11_12"
"Prevotella_seregens",0.00176412,0.002220434,"s11_12"
"Prevotella_sp003043925",2.54e-05,0.000532619,"s11_12"
"Prevotella_veroralis",0.000722509,0.000953246,"s11_12"
"Pseudoleptotrichia_goodfellowii",0.000391333,0.000765919,"s11_12"
"Rothia_aeria",0.008312634,0.009758051,"s11_12"
"Rothia_dentocariosa",0.013383802,0.019088742,"s11_12"
"Rothia_mucilaginosa",0.128718254,0.044409845,"s11_12"
"Saccharimonas_sp010202265",0.000214338,0.000351638,"s11_12"
"SDRW01_sp007845485",0.000316443,0.001043473,"s11_12"
"Selenomonas_sputigena",0.002033705,0.001725148,"s11_12"
"Shuttleworthia_satelles",0.000437986,0.000480823,"s11_12"
"Slackia_exigua",0.000678925,0.000891986,"s11_12"
"Streptococcus_constellatus",0.001428852,0.001614569,"s11_12"
"Streptococcus_cristatus",0.002734933,0.001814652,"s11_12"
"Streptococcus_intermedius",0.000289229,0.000793032,"s11_12"
"Streptococcus_rubneri",0.000737343,0.001067224,"s11_12"
"Streptococcus_sanguinis",0.012853226,0.007564234,"s11_12"
"Tannerella_forsythia",0.010958252,0.013550825,"s11_12"
"Tannerella_sp002890585",0.004251465,0.004307131,"s11_12"
"Tannerella_sp003033925",0.006941996,0.006418264,"s11_12"
"Treponema_B_denticola",0.001478984,0.002035784,"s11_12"
"Treponema_C_lecithinolyticum",0.00195462,0.00200281,"s11_12"
"Treponema_C_maltophilum",0.000422231,0.000264821,"s11_12"
"Treponema_D_buccale",0.000155613,0.000178148,"s11_12"
"Treponema_sp010365865",0.001635006,0.0019561,"s11_12"
"Veillonella_parvula_A",0.00195994,0.002650062,"s11_12"
"Veillonella_rogosae",0.003537346,0.00188416,"s11_12"
"W11650_sp002999035",0.001983164,0.001407334,"s11_12"
"Actinomyces_graevenitzii",0.000835494,0.001395713,"s11_14"
"Actinomyces_oris",0.000825164,0.000989808,"s11_14"
"Aggregatibacter_segnis",0.032924596,0.02035681,"s11_14"
"Aggregatibacter_sp000466335",0.003979722,0.002308462,"s11_14"
"Allisonella_pneumosintes",0.004082229,0.004991054,"s11_14"
"Alloprevotella_rava",0.000617653,0.000739565,"s11_14"
