"Species","col_2b","col_WMS","Group"
"Desulfobulbus_oralis",9.62e-05,5.31771e-05,"s11_1"
"Dialister_invisus",0.000364831,0.000460026,"s11_1"
"Eikenella_corrodens",0.001544872,0.001727834,"s11_1"
"Eikenella_corrodens_B",4.98e-05,7.91884e-05,"s11_1"
"Eikenella_exigua",5.03e-05,7.49289e-05,"s11_1"
"Eikenella_halliae",0.000115371,0.000150555,"s11_1"
"Eikenella_shayeganii",0.000110503,4.67797e-05,"s11_1"
"Eubacterium_A_minutum",2.78e-05,2.22543e-05,"s11_1"
"Eubacterium_B_infirmum",0.000194083,0.000164954,"s11_1"
"Eubacterium_B_sulci",3.11e-05,3.16823e-05,"s11_1"
"Eubacterium_M_brachy",0.001192151,0.001198978,"s11_1"
"Eubacterium_N_saphenum",0.005972759,0.006134766,"s11_1"
"F0040_sp000318095",0.000530937,0.00050924,"s11_1"
"F0040_sp003639005",0.00031438,0.000343365,"s11_1"
"F0040_sp900095835",0.000464199,0.00043531,"s11_1"
"F0058_sp000163695",0.000831915,0.000712616,"s11_1"
"F0422_sp001553345",0.000776661,0.000799079,"s11_1"
"F0422_sp003992055",8.57e-05,5.79868e-05,"s11_1"
"Filifactor_alocis",0.002977829,0.002959351,"s11_1"
"Flexilinea_sp001717545",1.28e-05,1.86791e-05,"s11_1"
"Fretibacterium_fastidiosum",0.00016155,0.000168337,"s11_1"
"Fretibacterium_sp003860125",1.31e-05,1.49152e-05,"s11_1"
"Fusobacterium_animalis",0.000673696,0.001284497,"s11_1"
"Fusobacterium_nucleatum_J",0.001641863,0.003564256,"s11_1"
"Fusobacterium_pseudoperiodonticum",0.000613683,0.001177843,"s11_1"
"Fusobacterium_vincentii",0.00093398,0.001580212,"s11_1"
"Gemella_haemolysans",0.004356386,0.004360777,"s11_1"
"Gemella_haemolysans_A",0.000640686,0.000704595,"s11_1"
"Gemella_haemolysans_B",0.008676567,0.009905814,"s11_1"
"Gemella_morbillorum",0.000636253,0.000627355,"s11_1"
"Gemella_sanguinis",0.000102562,0.000150804,"s11_1"
"Gemella_sp002871655",0.002981037,0.002607233,"s11_1"
"Gemella_sp900766305",0.00230975,0.001873595,"s11_1"
"GN02-873_sp003260345",0.002297565,0.002511458,"s11_1"
"GN02-873_sp013332525",0.000396673,0.00044083,"s11_1"
"Gordonia_terrae",6.49e-06,9.65748e-06,"s11_1"
"Granulicatella_adiacens",0.003396945,0.003624667,"s11_1"
"Granulicatella_elegans",0.003327216,0.003366059,"s11_1"
"Granulicatella_sp001058355",0.000781513,0.000828897,"s11_1"
"Granulicatella_sp001071995",0.000211439,0.000162655,"s11_1"
"Granulicatella_sp900551535",0.000380099,0.000389611,"s11_1"
"Haemophilus_A_parahaemolyticus",0.011433586,0.013009125,"s11_1"
"Haemophilus_A_paraphrohaemolyticus",0.000739472,0.00074033,"s11_1"
"Haemophilus_A_sputorum",0.001118735,0.001291397,"s11_1"
"Haemophilus_D_parainfluenzae",0.013952482,0.015018407,"s11_1"
"Haemophilus_D_parainfluenzae_A",0.001084471,0.001196336,"s11_1"
